이름_A,주민등록번호_A,전화번호_A,주소지_A,차량번호,_join_hash_,이름_B,주민등록번호_B,주소지_B,전화번호_B,이동동선(통신사)
박도윤,970405-1791798,055-909-6705,울산광역시 남구 잠실893가 447 (도윤이장리),70마 3705,1f2fcf27a0c0d7e70dfc330946adf421937d5b4f8c38dccaf1361179fea4f005,박도윤,970405-1791798,울산광역시 남구 잠실893가 447 (도윤이장리),055-909-6705,노원구→유성구 (SKT)
홍하은,041018-1665492,010-0699-0162,충청북도 성남시 수정구 개포37거리 285-97 (영철김김마을),98나 6107,b8db02f4f552407cdfb62eabe6bc6c4ac8f18e22972b0486730a37f307c6c72b,홍하은,041018-1665492,충청북도 성남시 수정구 개포37거리 285-97 (영철김김마을),010-0699-0162,수성구→노원구 (SKT)
곽상현,580413-2226882,017-003-3092,충청북도 영월군 석촌호수길 786,41나 2049,679cf2446e6a1bb12ebde28aa1db545900c4109b3f876db4da66e20432e5bcde,곽상현,580413-2226882,충청북도 영월군 석촌호수길 786,017-003-3092,강남구→남동구 (SKT)
조진호,910602-1107540,042-419-0496,충청남도 성남시 분당구 봉은사거리 지하825 (은정최동),19거 1964,1ec79c4f7ff2706c58a8e8a0bf884ca8b5aa0ee1752010420ef2de1e0f5065e5,조진호,910602-1107540,충청남도 성남시 분당구 봉은사거리 지하825 (은정최동),042-419-0496,서초구→강남구 (KT)
이성호,800802-2174299,053-067-1657,경상북도 안산시 상록구 백제고분776거리 851,75나 5562,ac5df28ee7a7d98b43902634464faade4617fbca06a559aa233da0d027fef92b,이성호,800802-2174299,경상북도 안산시 상록구 백제고분776거리 851,053-067-1657,성북구→해운대구 (LGU+)
이예원,930120-1858490,011-965-0752,충청남도 광주시 삼성94로 88 (예지박읍),83마 8744,a1dd9417cc32f10a235df19c3fd97c9c7b0fa48d1f830af8c72a93e45f4dc4de,이예원,930120-1858490,충청남도 광주시 삼성94로 88 (예지박읍),011-965-0752,성북구→유성구 (KT)
윤예지,950322-1198907,032-436-3495,제주특별자치도 고성군 선릉855가 258-30 (예지이마을),22거 8062,1340939d85022e0e076c0ffe919f7deeb2aba0c632634e846d0b76ca9b53077a,윤예지,950322-1198907,제주특별자치도 고성군 선릉855가 258-30 (예지이마을),032-436-3495,유성구→성북구 (SKT)
한서연,920613-2864491,051-989-4134,전라남도 안산시 상록구 압구정824로 300-90,16거 2612,a1fb9a826e925f49f51cc98b9b8e2bbe50a2797c11d8b950c9ef8fbcc4e57c78,한서연,920613-2864491,전라남도 안산시 상록구 압구정824로 300-90,051-989-4134,유성구→수성구 (KT)
윤지아,600106-1360735,02-9477-7520,세종특별자치시 성동구 개포가 645-88 (성진송면),34나 9786,5ee160624a4d16a18309a79415fceec060ad7592d83783615ae232f866a94320,윤지아,600106-1360735,세종특별자치시 성동구 개포가 645-88 (성진송면),02-9477-7520,송파구→성북구 (SKT)
김영호,760103-1392075,016-938-6774,전라북도 보령시 백제고분로 271-85 (성현김동),69나 2235,41bd91d0069d34801c43b82553c31a3e099eb8ed7965ef51d49d9c3809d9df9f,김영호,760103-1392075,전라북도 보령시 백제고분로 271-85 (성현김동),016-938-6774,노원구→서초구 (SKT)
이정수,780930-1783823,031-344-7134,경상북도 부천시 원미구 가락길 74,79고 1241,66e2bbecbae5797392ae4bd454a6867f61ae8a956e79f239f92ee28640211611,이정수,780930-1783823,경상북도 부천시 원미구 가락길 74,031-344-7134,해운대구→송파구 (KT)
안예준,961025-2609231,052-717-4648,경상남도 안양시 선릉거리 지하257 (상철차마을),71나 7570,654a2b9760ddd715c18d767a20ce4185cd1d25ffaad3a397ab6774ca1bfeeb0a,안예준,961025-2609231,경상남도 안양시 선릉거리 지하257 (상철차마을),052-717-4648,송파구→성북구 (KT)
김지연,960903-1509386,011-027-8742,경상남도 안양시 만안구 영동대55로 422-89 (우진노송마을),43고 8454,a6a1b2e15caee46958ebb922f133f63a18469f0251dc9e3673c61977885af746,김지연,960903-1509386,경상남도 안양시 만안구 영동대55로 422-89 (우진노송마을),011-027-8742,유성구→노원구 (SKT)
김상훈,600910-1299122,055-808-7603,세종특별자치시 관악구 도산대4길 902 (상훈우조읍),47나 1958,a0f62d4bcca64ab698f91155130914dccb8d87cc3191da0798e67d7493b11819,김상훈,600910-1299122,세종특별자치시 관악구 도산대4길 902 (상훈우조읍),055-808-7603,노원구→강남구 (LGU+)
이경숙,750804-2159942,044-171-2748,울산광역시 서구 서초중앙7길 944 (지아이리),16마 8811,67e569a66ad5858f27929a98168b33e2c90f041c68463876ae27637c5bbe348e,이경숙,750804-2159942,울산광역시 서구 서초중앙7길 944 (지아이리),044-171-2748,노원구→송파구 (LGU+)
안상훈,541129-1632496,070-4997-2787,대전광역시 금천구 반포대33가 45 (옥자한송리),20고 4044,d8c38159c34d0a0084d896e3f68c17dc9354b9a94f451bf8358ed508348c9762,안상훈,541129-1632496,대전광역시 금천구 반포대33가 45 (옥자한송리),070-4997-2787,서초구→남동구 (KT)
안은지,620716-2225710,031-289-5171,경기도 옥천군 선릉길 801 (정웅한윤면),82나 1651,0509b706af4136c6e064732310659921251dc007424842e647394a43b98ed794,안은지,620716-2225710,경기도 옥천군 선릉길 801 (정웅한윤면),031-289-5171,서초구→성북구 (LGU+)
고영미,701206-2373432,019-780-9134,강원도 태백시 가락로 711,36거 6147,81660db9fe3ed20411354bec5b0afc0cd9b7075dda6f315927acaeda24cbcf55,고영미,701206-2373432,강원도 태백시 가락로 711,019-780-9134,남동구→성북구 (KT)
김성진,570823-1804318,054-562-3869,충청북도 안산시 상록구 백제고분가 935,92다 8491,21c37a69238d9f85e2810d071b31da47ba5b58dbac4eb8837509d47a90176913,김성진,570823-1804318,충청북도 안산시 상록구 백제고분가 935,054-562-3869,서초구→강남구 (SKT)
김은주,780321-2751332,018-074-8217,광주광역시 관악구 강남대43가 243-49 (서영진이리),82가 2200,447044fb19ce9209b0a712b678fe68c7ca8cf3ab10b4674d66c2918fd87682e5,김은주,780321-2751332,광주광역시 관악구 강남대43가 243-49 (서영진이리),018-074-8217,해운대구→수성구 (LGU+)
최정수,921004-1465962,031-974-3953,전라북도 청주시 서원구 가락로 808-57,18나 7054,b65a9fa8546a81031e4eefcc9ec5b7b5b0f9d823949b950ed3d9869c126e7d4f,최정수,921004-1465962,전라북도 청주시 서원구 가락로 808-57,031-974-3953,송파구→노원구 (SKT)
이민수,010304-2741390,053-623-2858,대구광역시 강북구 양재천517로 881 (현정송이리),93마 1128,477f54abf259fc29b7662f79b75d08a60f9a3c012ef8babefbff8e33f5df15bd,이민수,010304-2741390,대구광역시 강북구 양재천517로 881 (현정송이리),053-623-2858,노원구→남동구 (LGU+)
박영길,890204-1240814,018-496-5137,대전광역시 동작구 가락로 665-53,43가 2753,1b038042c6627e87ac89d673cf4ece512f50cb7efa3ee552e03e9eb80d827d77,박영길,890204-1240814,대전광역시 동작구 가락로 665-53,018-496-5137,노원구→송파구 (LGU+)
김광수,050729-2395442,033-138-2675,충청북도 강릉시 서초중앙가 707 (영수박김면),87나 6617,0b905773026f2ae4f2ff8fa335685b14ba9f0d555c7ef9eff19be6df6f0582bb,김광수,050729-2395442,충청북도 강릉시 서초중앙가 707 (영수박김면),033-138-2675,남동구→노원구 (KT)
임영철,040826-2987204,054-064-3171,경기도 성남시 수정구 언주9길 213,16가 7939,4270972c8cfa36533e40a76c878b3af449fb5b079de338453c7e5f06d867dbc0,임영철,040826-2987204,경기도 성남시 수정구 언주9길 213,054-064-3171,강남구→서초구 (SKT)
송서현,940410-2908577,016-042-2842,서울특별시 광진구 영동대길 17-23,26거 5291,d2e17ba588fc9a18c45825f7f77268a92178c73439bd49bf52198ca427239263,송서현,940410-2908577,서울특별시 광진구 영동대길 17-23,016-042-2842,성북구→유성구 (KT)
김승현,600730-1217308,032-775-8917,경기도 영동군 반포대007가 지하703,19거 3442,677a91e3242ae9ff6dcc8ab7fb1ba9eae0ea267f4733ef2d588ce23a942cc6b8,김승현,600730-1217308,경기도 영동군 반포대007가 지하703,032-775-8917,강남구→유성구 (LGU+)
오시우,000823-1550664,053-921-2499,울산광역시 동작구 반포대961로 441-58 (지후류리),26가 6050,b9ae6ad2d582c9a72071d7bb2b4343d9736a94de5f664982326ed97c5941b65c,오시우,000823-1550664,울산광역시 동작구 반포대961로 441-58 (지후류리),053-921-2499,강남구→유성구 (SKT)
김승현,880913-1815198,054-271-1116,대전광역시 동구 잠실로 576-43,41거 2684,254354159afa4a38fd39537325315b79a789af6f2100ae0433c51531774c9dec,김승현,880913-1815198,대전광역시 동구 잠실로 576-43,054-271-1116,노원구→유성구 (SKT)
이채원,021012-1348237,061-049-4519,충청북도 태안군 언주5거리 588-29,30고 3900,99c8079224ff687179b99bc80c5d068a30b1d5b25c10420c0d680050c850abb5,이채원,021012-1348237,충청북도 태안군 언주5거리 588-29,061-049-4519,강남구→해운대구 (SKT)
홍현지,960709-2920391,016-809-4024,대전광역시 은평구 역삼길 72 (옥순우동),62고 5065,558ee11c6a958de36196978e9934c53f95e511bb5b654e1617677a970090fdec,홍현지,960709-2920391,대전광역시 은평구 역삼길 72 (옥순우동),016-809-4024,송파구→서초구 (SKT)
김영자,720302-2140605,054-459-9102,경기도 청주시 서원구 강남대가 622-57,70나 4269,adfd8ae0ebde27c4893aafddb7fe1ecb54d6aca0601a196997fda23179af17fb,김영자,720302-2140605,경기도 청주시 서원구 강남대가 622-57,054-459-9102,수성구→남동구 (SKT)
김영일,720520-1333752,033-497-8403,경기도 파주시 양재천길 297-42 (건우신읍),13거 4164,25761f573d621024e5d658d66af149e02fb5ab237dd245625130841749536bb6,김영일,720520-1333752,경기도 파주시 양재천길 297-42 (건우신읍),033-497-8403,수성구→남동구 (SKT)
박상현,830411-1910891,018-516-0607,대전광역시 영등포구 석촌호수64로 990,45다 9346,e8721a42b286dde804a00721bbfb40f7b19cd640a10df07126772a763d20eb5f,박상현,830411-1910891,대전광역시 영등포구 석촌호수64로 990,018-516-0607,노원구→수성구 (SKT)
송우진,970319-1220944,054-161-3696,울산광역시 남구 삼성5길 지하523,43나 5349,f4331768a3ea1e3bb6e590a9e8ce3d453eeeb28c28c5a8323c9c7d168ab68cc0,송우진,970319-1220944,울산광역시 남구 삼성5길 지하523,054-161-3696,서초구→성북구 (KT)
박서연,940515-2863934,054-231-2432,강원도 안산시 상록구 반포대979거리 451,50라 9379,abf558e8ebdc99d9c3bb17e9bd7b99c650eed3eff29da492b30d50e98331c125,박서연,940515-2863934,강원도 안산시 상록구 반포대979거리 451,054-231-2432,유성구→해운대구 (KT)
박성민,681015-2146542,031-581-4770,대전광역시 서구 학동199가 568,65가 9518,7545f88a70cedeb7221e9f6f5a51c3ffc1d7d23055b947c51ba888c719db8020,박성민,681015-2146542,대전광역시 서구 학동199가 568,031-581-4770,해운대구→유성구 (LGU+)
서경희,010221-2173372,011-359-7820,강원도 가평군 서초대길 725-57 (미영강이면),95다 6143,135ab69ea8bf7bdc27dec836b2a7840b567d208150047af6eb5b758cea4e5689,서경희,010221-2173372,강원도 가평군 서초대길 725-57 (미영강이면),011-359-7820,서초구→수성구 (LGU+)
황정수,570614-2799287,017-515-1864,대구광역시 노원구 석촌호수길 991 (서준오김마을),62다 7592,63c85b9f1b5f27e51ea7b21bf6fbfa97d4c793ad89fcf38b84cd678aa2e27d45,황정수,570614-2799287,대구광역시 노원구 석촌호수길 991 (서준오김마을),017-515-1864,남동구→송파구 (LGU+)
안준서,881215-1540869,070-8168-5054,충청남도 가평군 논현2길 865,95라 3851,b08db0aeaa1feef6e9656c5aa49e7a978dc38cacdd552c9a7565633e2c289549,안준서,881215-1540869,충청남도 가평군 논현2길 865,070-8168-5054,남동구→성북구 (LGU+)
박유진,920614-1418635,064-705-9296,충청북도 안산시 단원구 반포대로 693-93,46나 8043,70afee02f633d8ba4b349ce198b9793052cd336b242cb76bbca83364beb7799d,박유진,920614-1418635,충청북도 안산시 단원구 반포대로 693-93,064-705-9296,수성구→노원구 (LGU+)
박서준,921215-2563638,062-383-4735,경상남도 단양군 개포862길 894 (민석박이동),96나 9375,1f32fbe093e0b0b87b3e2cbce839d8cc81db8adc81bab102e25221ba92c62e74,박서준,921215-2563638,경상남도 단양군 개포862길 894 (민석박이동),062-383-4735,송파구→서초구 (SKT)
박미정,590122-2640490,042-478-2613,전라남도 수원시 팔달구 도산대85길 384 (도윤남면),94거 6491,266c66a9b4466987008c6460e1a7ab9cfb7fabdc479e8741929ef565748374c6,박미정,590122-2640490,전라남도 수원시 팔달구 도산대85길 384 (도윤남면),042-478-2613,해운대구→수성구 (KT)
김수빈,970205-1945742,019-277-9010,인천광역시 서구 잠실가 244 (상훈김윤마을),35나 1400,e775f4c86cc7cc5e188a513977480d6078a0901edfa828868cff2f855c2306c8,김수빈,970205-1945742,인천광역시 서구 잠실가 244 (상훈김윤마을),019-277-9010,해운대구→노원구 (KT)
김지후,850320-1577538,02-8932-4609,인천광역시 영등포구 역삼185로 520 (준혁박리),63거 4185,11003d0481d5ee1b90ea3cead2537120865fe83afe0b0a5a263e9156de798a92,김지후,850320-1577538,인천광역시 영등포구 역삼185로 520 (준혁박리),02-8932-4609,유성구→노원구 (LGU+)
김경자,941230-2355836,054-319-5205,대구광역시 서구 서초중앙221가 207-6 (지우이면),28거 1090,a12273e106d82e1bfd12fe1739e5a1fab4be69634f95ca20c1267ddfe00a0b65,김경자,941230-2355836,대구광역시 서구 서초중앙221가 207-6 (지우이면),054-319-5205,유성구→해운대구 (KT)
진유진,670913-1943170,017-345-0541,울산광역시 북구 반포대52가 947 (은정서김마을),99마 8611,fdfbaa90ad9795728e224bab71dbe9567610c8b55134cb601a66b65f89c4df2c,진유진,670913-1943170,울산광역시 북구 반포대52가 947 (은정서김마을),017-345-0541,노원구→해운대구 (KT)
김수진,600106-1578634,053-447-9627,세종특별자치시 중구 백제고분40로 526-96 (하은김마을),27고 8612,efa2bb4f8e28eeef6e712d3e72a317cd36465e6abd56380323f55ecfa3d50ee7,김수진,600106-1578634,세종특별자치시 중구 백제고분40로 526-96 (하은김마을),053-447-9627,노원구→수성구 (LGU+)
이미정,661026-2742412,017-556-9092,전라남도 양주시 학동285가 256-15 (옥순박리),74라 9976,f6facf84dba8aaff214eb19abf4ddcdd747a2986f5bd4d7d51dcac35e02bcf73,이미정,661026-2742412,전라남도 양주시 학동285가 256-15 (옥순박리),017-556-9092,송파구→노원구 (SKT)
김지영,900908-2371782,043-947-3121,충청북도 보은군 학동551거리 지하872 (예은남읍),41고 5543,c382d976b22f9da9f97d63ceea771e7941da0087efcb726292c617e8a5c54203,김지영,900908-2371782,충청북도 보은군 학동551거리 지하872 (예은남읍),043-947-3121,성북구→해운대구 (LGU+)
박미영,650111-2561239,041-370-5895,제주특별자치도 부천시 오정구 학동거리 539-53 (정숙김우동),19거 5681,4e1c0c247a74db62c23339d33d7fea110d3ebdfb6b36772ffb6dc5319338c2ef,박미영,650111-2561239,제주특별자치도 부천시 오정구 학동거리 539-53 (정숙김우동),041-370-5895,남동구→유성구 (KT)
장성현,990723-2666390,010-9226-8018,전라북도 안산시 삼성길 917,20나 3471,69b5a085b7a6f9aeaffc4bf2e8f6ead682e02ba8c946287dde8855ea50e119e7,장성현,990723-2666390,전라북도 안산시 삼성길 917,010-9226-8018,유성구→송파구 (KT)
김병철,030722-1167348,051-249-8182,충청북도 태안군 석촌호수0로 272,63라 6421,17aef5b176f33037aaa7c74f5e57973f04bbe1e5a13bb2c78889bb91250cf90c,김병철,030722-1167348,충청북도 태안군 석촌호수0로 272,051-249-8182,성북구→유성구 (LGU+)
황영자,870516-1316881,063-844-7364,강원도 청주시 청원구 역삼가 476 (정호김면),63라 1320,8eeb4c4596a4dd777058346d092277079eed53b5bead9fde2f1c3aae754c956d,황영자,870516-1316881,강원도 청주시 청원구 역삼가 476 (정호김면),063-844-7364,유성구→노원구 (LGU+)
고현지,610613-1468845,054-881-5371,세종특별자치시 성북구 봉은사로 885-79 (영철문김면),48고 7389,582506b5c510c055c343bdd71270e2ed748f3120bd52c589ff785b9ea9520e42,고현지,610613-1468845,세종특별자치시 성북구 봉은사로 885-79 (영철문김면),054-881-5371,노원구→해운대구 (SKT)
오서연,621128-2330080,064-777-4701,제주특별자치도 홍천군 논현거리 289-64 (우진김김읍),44라 8956,69d6564264975cf40610728392c8feadf3927df64ca548450f9ec3e09c76da83,오서연,621128-2330080,제주특별자치도 홍천군 논현거리 289-64 (우진김김읍),064-777-4701,유성구→수성구 (KT)
서지연,730611-2859359,055-098-3584,울산광역시 구로구 잠실99로 404-48,31고 8657,70234460768ae29e91d19ec0cee718caf7da7cacf2698b487a82981d69db9255,서지연,730611-2859359,울산광역시 구로구 잠실99로 404-48,055-098-3584,노원구→강남구 (KT)
이현정,930414-2720644,043-986-8000,전라남도 영월군 테헤란825거리 632-95,82거 1444,70633bd3cf8a96451f4ca31905ad1d64f08671ecd3ba6d1275c9106d96761d4d,이현정,930414-2720644,전라남도 영월군 테헤란825거리 632-95,043-986-8000,유성구→송파구 (KT)
최예진,801010-2290556,063-947-0551,전라북도 옥천군 백제고분가 592-30 (서윤김마을),16다 7211,58598a7f21448a3f50e2130f017c4ddbe993f963fa946b536f06c60cbffb5122,최예진,801010-2290556,전라북도 옥천군 백제고분가 592-30 (서윤김마을),063-947-0551,해운대구→노원구 (SKT)
이지은,670218-2453894,011-130-7562,충청남도 원주시 도산대283거리 386 (하은박박마을),58다 7906,40b1cf68b3d7d4abb11453646fd2cd41b9019a96c6d8c372861a6ed2b854fc25,이지은,670218-2453894,충청남도 원주시 도산대283거리 386 (하은박박마을),011-130-7562,서초구→노원구 (SKT)
황정웅,870804-1885408,019-497-3348,인천광역시 도봉구 논현757거리 295 (서영정리),79가 6733,923a8851f10eec2e8548ff6dc2e064a50915e846a07f3ade0bb8bb1000afe814,황정웅,870804-1885408,인천광역시 도봉구 논현757거리 295 (서영정리),019-497-3348,서초구→강남구 (KT)
곽지원,690805-1359295,052-157-4733,광주광역시 광진구 백제고분길 686-68 (순옥김리),35고 1333,48655882d7c3792525f4014c8db5b2ba17007816bb57eaf7e2ed76e5590f81b3,곽지원,690805-1359295,광주광역시 광진구 백제고분길 686-68 (순옥김리),052-157-4733,송파구→남동구 (LGU+)
박정수,611016-1596564,010-2677-3454,부산광역시 관악구 잠실로 904,95가 4571,23111b9c33fe5252fcb70064e963238c4d03ae8173f8bb4252be4612da477e0d,박정수,611016-1596564,부산광역시 관악구 잠실로 904,010-2677-3454,남동구→유성구 (SKT)
심경희,970605-1735324,063-240-0499,대전광역시 도봉구 가락872가 829-15,87거 2876,d391389a538bff7c6cdb0f13aa53bbf20eb04b597844bdba7521e905109a8290,심경희,970605-1735324,대전광역시 도봉구 가락872가 829-15,063-240-0499,남동구→서초구 (KT)
서재호,910607-1427110,02-5493-2966,부산광역시 서대문구 역삼길 959-32 (영호김면),83거 7149,29eda1d74b0e06f2ffdd8d778cb6e5b7e8652260194d2b70948e4f687b5bafb9,서재호,910607-1427110,부산광역시 서대문구 역삼길 959-32 (영호김면),02-5493-2966,해운대구→서초구 (SKT)
이정희,550514-1206851,017-530-1742,제주특별자치도 제천시 봉은사459길 490-20 (옥자조이마을),99고 5941,f428a527ff0c78f7da613712a46c7271f155c94ba0db92701fc327790394bbe3,이정희,550514-1206851,제주특별자치도 제천시 봉은사459길 490-20 (옥자조이마을),017-530-1742,서초구→강남구 (LGU+)
권지원,961120-2658623,044-918-7851,서울특별시 서구 석촌호수길 875-67,64거 7071,eb292c78711bf3383985c79d248b8829c9398a750920edf396be89919189751e,권지원,961120-2658623,서울특별시 서구 석촌호수길 875-67,044-918-7851,노원구→수성구 (KT)
장정웅,790917-1990844,064-770-7286,경기도 공주시 오금06거리 593 (동현이동),63고 9031,c2f8f1a93fec14f74949b71b4bd20dcae5886847cacdf8748e6c28475f4a8349,장정웅,790917-1990844,경기도 공주시 오금06거리 593 (동현이동),064-770-7286,유성구→수성구 (KT)
김하윤,050127-2841666,063-046-2265,경상남도 수원시 장안구 학동825로 403-68 (예진김동),29라 3885,1b63627d28472713d03630695631cb9f06d856e56221ea64f1d5926944229f22,김하윤,050127-2841666,경상남도 수원시 장안구 학동825로 403-68 (예진김동),063-046-2265,노원구→남동구 (LGU+)
구예은,910616-2587455,061-863-3752,인천광역시 북구 도산대가 212-9 (서현박동),65고 5397,18ddda338889d33340487300d23fe5deb83aa033352970c87667e9dd4c47fb43,구예은,910616-2587455,인천광역시 북구 도산대가 212-9 (서현박동),061-863-3752,해운대구→서초구 (SKT)
김시우,820423-2572700,031-284-3959,인천광역시 도봉구 오금길 282-8 (수진이리),41고 8613,badbbacd7115b3f9c6f5641a6ad29145ff31eba55cee4e2097a1f80db620482d,김시우,820423-2572700,인천광역시 도봉구 오금길 282-8 (수진이리),031-284-3959,유성구→수성구 (LGU+)
이재호,740322-1618317,064-756-6246,제주특별자치도 영월군 언주거리 937,51나 8988,e49b0ec706d9cfcdb6b0328f78ccc5a4f5a5e42223ba099a18f810670c1f7640,이재호,740322-1618317,제주특별자치도 영월군 언주거리 937,064-756-6246,수성구→남동구 (KT)
