성명,주민번호,주소,전화번호,이동동선(통신사)
장정웅,790917-1990844,경기도 공주시 오금06거리 593 (동현이동),064-770-7286,유성구→수성구 (KT)
김하윤,050127-2841666,경상남도 수원시 장안구 학동825로 403-68 (예진김동),063-046-2265,노원구→남동구 (LGU+)
구예은,910616-2587455,인천광역시 북구 도산대가 212-9 (서현박동),061-863-3752,해운대구→서초구 (SKT)
김시우,820423-2572700,인천광역시 도봉구 오금길 282-8 (수진이리),031-284-3959,유성구→수성구 (LGU+)
이재호,740322-1618317,제주특별자치도 영월군 언주거리 937,064-756-6246,수성구→남동구 (KT)
이승현,811023-2393243,인천광역시 중구 개포990로 742,055-343-5175,강남구→남동구 (LGU+)
김서영,010115-1353080,경상북도 구리시 양재천78거리 369-66,052-033-1739,성북구→노원구 (LGU+)
박지원,910817-2931450,경기도 시흥시 양재천3거리 584,053-355-6093,유성구→해운대구 (KT)
박은지,890916-2796212,충청북도 천안시 동남구 서초대로 783-1 (성민강김읍),051-777-2522,노원구→수성구 (LGU+)
박성호,860417-2882169,경기도 수원시 권선구 잠실08가 941 (미영김마을),018-977-0088,성북구→남동구 (LGU+)
송수민,750109-2363615,부산광역시 서대문구 개포700길 866,054-679-3341,서초구→해운대구 (SKT)
권명숙,791212-2380310,전라북도 증평군 테헤란5가 707-27 (민지이윤면),062-788-1161,서초구→유성구 (SKT)
권민준,921208-2581294,충청남도 속초시 도산대가 642,064-772-8660,해운대구→남동구 (LGU+)
이성민,011020-2817269,대전광역시 동작구 석촌호수224길 620 (경자김이읍),042-870-5622,강남구→송파구 (KT)
지건우,900722-2497687,강원도 양양군 삼성0가 69,054-835-0344,노원구→성북구 (SKT)
문은경,700517-1767678,전라북도 공주시 학동길 287-23 (서연김박리),053-999-4973,송파구→서초구 (KT)
안현준,590610-2986392,충청북도 안산시 압구정10길 436-86,063-548-1386,수성구→서초구 (SKT)
이영수,700906-1340927,부산광역시 북구 역삼거리 574 (명숙안임마을),061-520-5756,성북구→남동구 (KT)
최현준,020910-1177959,전라남도 안산시 상록구 논현가 200 (서윤이면),051-809-4047,남동구→강남구 (LGU+)
지정식,681006-1991737,서울특별시 남구 백제고분772가 40-48,02-9222-1610,강남구→남동구 (SKT)
오성수,980714-1888795,인천광역시 관악구 삼성거리 지하928 (미숙노이동),032-382-4127,유성구→서초구 (LGU+)
조정수,750827-2270341,광주광역시 강북구 봉은사79로 91,033-121-2590,해운대구→성북구 (LGU+)
안서윤,731118-2502491,인천광역시 도봉구 테헤란거리 지하389,019-424-2956,송파구→서초구 (LGU+)
김중수,631025-2156304,광주광역시 강남구 강남대7거리 358 (정순임김마을),055-289-3654,유성구→해운대구 (KT)
한영일,970207-1457137,부산광역시 구로구 강남대길 33 (미숙강리),041-795-5969,유성구→수성구 (LGU+)
이미숙,730131-1764926,대구광역시 마포구 삼성12거리 479-70,042-079-7996,성북구→노원구 (SKT)
박서현,910903-1473095,세종특별자치시 서초구 양재천3로 793-35 (서현김김면),016-839-2250,유성구→성북구 (LGU+)
이지연,950829-1812711,경상북도 안산시 압구정232거리 190-31 (진우오읍),018-850-7251,유성구→서초구 (LGU+)
임정식,010503-2936821,경상남도 제천시 봉은사가 782 (준호이면),018-696-8157,서초구→송파구 (KT)
주경자,991212-2261712,충청남도 양주시 삼성099가 142,063-303-4615,송파구→성북구 (SKT)
김민재,700825-2478221,경기도 시흥시 역삼6로 355-88 (아름이동),042-529-8670,서초구→강남구 (KT)
성승민,940213-2566339,울산광역시 강북구 백제고분가 800 (예은홍우동),042-686-1205,남동구→서초구 (SKT)
오선영,810115-1191537,경상북도 성남시 수정구 양재천1가 52-77 (영철이이동),010-4245-6075,유성구→노원구 (KT)
김민석,920209-2208310,충청남도 안산시 상록구 잠실로 649-64 (지원이박마을),044-897-0155,서초구→유성구 (KT)
강정웅,960320-1725920,울산광역시 구로구 삼성거리 23,042-416-1394,수성구→성북구 (LGU+)
강유진,950406-1406024,대전광역시 영등포구 논현42거리 지하688,031-962-4406,유성구→서초구 (SKT)
황재호,681017-1699743,전라남도 안양시 동안구 언주로 66-79 (예진강박리),017-958-6780,송파구→성북구 (LGU+)
이준영,620710-1245584,충청남도 양양군 오금가 34 (숙자최면),032-385-4457,남동구→수성구 (SKT)
김은정,630414-2253023,울산광역시 마포구 양재천가 944-69 (준서하동),033-633-1942,송파구→성북구 (KT)
황현지,040914-2541557,전라남도 괴산군 선릉거리 646-14 (명자박김리),063-747-2264,성북구→서초구 (SKT)
류정훈,880331-2363926,울산광역시 영등포구 선릉30길 635,064-719-9605,성북구→해운대구 (KT)
김은정,890907-2212168,서울특별시 송파구 잠실327거리 484 (정식이동),043-977-3973,남동구→강남구 (KT)
우예진,600613-2448354,대구광역시 성북구 학동0가 883 (민재이김마을),033-980-7704,유성구→수성구 (LGU+)
류지민,561025-2450996,제주특별자치도 서천군 선릉1길 772 (예지이면),041-373-4151,송파구→수성구 (SKT)
오정훈,930522-2732512,광주광역시 강남구 삼성49거리 780-18 (미영김면),011-544-2947,해운대구→노원구 (LGU+)
장민지,951106-2286266,충청북도 당진시 개포30길 152,011-045-8867,수성구→남동구 (SKT)
김순자,620924-2703853,대전광역시 서대문구 가락8가 919-49 (영미김읍),052-332-4913,수성구→성북구 (KT)
박지훈,010101-2956156,충청남도 포천시 개포로 69,051-888-1079,수성구→서초구 (SKT)
김지우,640206-1720995,충청남도 청주시 청원구 역삼9거리 94-96,043-128-4033,송파구→강남구 (LGU+)
권영수,591017-2842776,대전광역시 동구 논현가 86,063-318-9397,성북구→남동구 (KT)
김시우,001208-1958747,충청남도 논산시 압구정69거리 337-65 (미숙하이마을),044-548-8471,성북구→송파구 (SKT)
노예지,710123-2353777,경상남도 동두천시 학동가 948-57 (순옥박김동),044-348-4587,송파구→성북구 (SKT)
이우진,831126-2177558,전라남도 동두천시 개포길 679,042-587-9643,성북구→유성구 (SKT)
박지혜,700407-2670053,전라북도 연천군 삼성46가 781-52,031-652-7403,수성구→서초구 (KT)
오성민,731030-1906306,울산광역시 동구 삼성833가 77 (성현오마을),063-067-3499,수성구→송파구 (KT)
김재현,681110-1690579,세종특별자치시 도봉구 서초중앙길 794 (정숙양최마을),043-817-3598,유성구→수성구 (LGU+)
이옥자,690823-2211090,대구광역시 강동구 삼성거리 189-42,062-375-5344,서초구→수성구 (KT)
남민서,870715-1635482,경상북도 정선군 서초대로 17 (혜진성양면),010-7495-1191,노원구→해운대구 (LGU+)
황옥자,950706-2492292,세종특별자치시 동작구 학동가 지하477,062-251-2957,성북구→송파구 (SKT)
한지은,761031-2125755,울산광역시 영등포구 압구정600길 155,051-395-8739,서초구→수성구 (SKT)
손정희,840314-2190025,충청북도 고양시 덕양구 역삼0로 357-9,053-533-3426,송파구→유성구 (KT)
김하은,940304-2459731,대구광역시 북구 봉은사07길 458,062-633-6911,해운대구→노원구 (SKT)
박은경,810214-2599292,충청남도 부천시 소사구 백제고분56길 819-65,054-748-1700,성북구→노원구 (KT)
이진호,591120-2170437,광주광역시 서구 선릉거리 667 (지연김차면),031-232-9028,강남구→송파구 (SKT)
한정훈,571125-1990429,전라북도 양주시 역삼22길 901,033-207-3465,서초구→해운대구 (SKT)
이숙자,940923-1641058,서울특별시 북구 도산대260가 174-21 (경수배동),061-117-7687,노원구→송파구 (KT)
조재현,700831-2687044,전라북도 부천시 오정구 오금591가 201 (영수김읍),044-116-4913,성북구→해운대구 (SKT)
김재호,710717-2760351,제주특별자치도 인제군 테헤란65길 766-50 (은정구동),041-032-6509,송파구→성북구 (KT)
고병철,990216-2130610,경상남도 고양시 일산동구 백제고분87로 947 (정웅손김리),010-7158-4156,해운대구→노원구 (LGU+)
차미정,660513-2507723,강원도 부천시 소사구 테헤란47가 990-65 (준호노마을),043-230-3589,해운대구→남동구 (KT)
최옥자,570306-2888870,인천광역시 강남구 영동대길 651 (정희권읍),010-9634-0646,서초구→송파구 (LGU+)
우하윤,780825-1483561,전라북도 파주시 강남대거리 지하946,070-9910-6227,해운대구→노원구 (SKT)
권지원,030412-1375097,경상북도 동두천시 개포335로 144,055-192-3724,성북구→수성구 (LGU+)
김미영,700826-2741003,세종특별자치시 성북구 양재천8가 902-97,070-5406-4176,서초구→유성구 (SKT)
양정순,950420-2986589,인천광역시 구로구 학동거리 857-90 (지훈윤문면),070-4485-6451,송파구→수성구 (SKT)
오영식,840827-1804758,경상북도 청주시 상당구 봉은사789가 892,018-609-1919,수성구→서초구 (KT)
주상호,840514-1420214,경상북도 보은군 영동대가 885 (춘자송리),018-039-2051,송파구→유성구 (KT)
이경수,780125-1635638,대전광역시 서구 영동대4가 지하333 (영희윤황읍),043-885-6527,유성구→송파구 (SKT)
이은정,920707-2543588,전라남도 용인시 처인구 학동가 655-24,055-347-5575,성북구→송파구 (KT)
성숙자,600619-1613426,광주광역시 강동구 개포로 93 (지민김이면),055-261-4991,송파구→해운대구 (SKT)
김준영,670428-2982885,전라북도 수원시 팔달구 언주333가 13,052-309-7768,강남구→유성구 (SKT)
최영순,980109-1608149,경상북도 진천군 영동대65거리 554 (민준한이읍),010-9218-7851,해운대구→성북구 (KT)
조정희,910518-2529008,경상남도 군포시 반포대가 지하606,061-120-8780,성북구→유성구 (LGU+)
박정자,580113-2612438,부산광역시 송파구 석촌호수09가 406 (영미이면),053-398-6289,서초구→강남구 (KT)
김우진,910206-1406278,부산광역시 강동구 백제고분로 748-21 (영철조읍),042-071-5116,남동구→해운대구 (KT)
하영숙,750727-2276379,충청북도 가평군 봉은사거리 725 (지영박김리),043-351-5718,성북구→서초구 (SKT)
양도윤,830313-1380901,부산광역시 동대문구 서초대로 394-40 (은정최면),032-239-7283,수성구→강남구 (LGU+)
김정순,620902-2672892,대구광역시 북구 역삼270로 827 (춘자김장마을),064-721-7392,유성구→서초구 (KT)
허현숙,020221-1412170,경상남도 부천시 원미구 삼성길 246-63 (은정김동),063-918-1589,성북구→남동구 (KT)
박영숙,820824-2956401,전라북도 용인시 수지구 반포대길 414-56,055-170-7158,성북구→서초구 (KT)
이영식,941120-1320073,서울특별시 구로구 논현로 지하914 (순옥서마을),02-0463-5806,수성구→성북구 (LGU+)
박보람,730910-1746081,인천광역시 성동구 역삼5로 212,011-900-6314,해운대구→남동구 (KT)
김준서,970306-1697766,경상북도 과천시 개포2길 637-86,051-694-3460,노원구→남동구 (SKT)
이서준,000926-1439375,전라북도 계룡시 가락가 지하713 (서준한김동),033-271-2852,남동구→수성구 (LGU+)
김정순,020330-2999695,전라북도 양양군 양재천411가 569 (시우박김리),033-130-6211,서초구→해운대구 (LGU+)
강시우,620123-2162165,인천광역시 강동구 삼성로 972,041-542-5730,송파구→해운대구 (SKT)
김성민,580110-1253347,충청남도 연천군 압구정13거리 147-71,053-011-6880,수성구→해운대구 (LGU+)
김현숙,730902-2613234,강원도 청주시 흥덕구 압구정가 60-50,011-130-9810,남동구→성북구 (KT)
백현숙,870901-2573947,울산광역시 양천구 오금가 652-59 (지혜김박면),044-242-6425,서초구→성북구 (KT)
이수진,561213-2828449,제주특별자치도 과천시 테헤란536가 752 (진호이이면),018-628-3333,성북구→노원구 (SKT)
하지민,941009-2710224,세종특별자치시 금천구 영동대436길 지하112 (재호전황마을),061-033-5826,서초구→노원구 (KT)
이현정,551231-2991401,경상북도 보령시 강남대길 801,043-265-7327,노원구→유성구 (KT)
남우진,920413-1550513,부산광역시 동구 학동로 340-12,053-532-3415,성북구→남동구 (KT)
이하윤,770723-2968581,대구광역시 도봉구 봉은사222가 933-80 (성현최박면),019-312-7102,수성구→송파구 (SKT)
박예은,931127-2926596,세종특별자치시 영등포구 반포대로 353 (현지손김읍),016-462-1354,강남구→서초구 (SKT)
하미경,850711-1756596,경기도 부여군 역삼43거리 502 (지은김김면),051-765-0471,강남구→송파구 (SKT)
김준호,020113-1562721,서울특별시 도봉구 논현66로 지하714,055-558-6652,강남구→성북구 (SKT)
오유진,790917-1822040,부산광역시 양천구 오금거리 24 (은주김동),042-512-9311,남동구→송파구 (KT)
김준서,990228-2197874,대구광역시 영등포구 가락19로 205,070-1211-0633,수성구→남동구 (LGU+)
김성수,811011-1489906,충청남도 제천시 백제고분274로 520 (민준우면),041-893-1132,송파구→강남구 (LGU+)
권서윤,741128-2755993,울산광역시 구로구 논현45길 671 (우진김김리),054-096-1701,해운대구→성북구 (SKT)
황지훈,900520-1837880,광주광역시 송파구 반포대75가 321-70,070-3392-0567,강남구→남동구 (KT)
이지우,021227-2181724,경상남도 횡성군 테헤란6가 808 (준영문김면),02-6229-2310,해운대구→노원구 (KT)
김성진,551120-1108454,충청북도 용인시 언주7가 971-21 (현정김차동),053-794-2387,수성구→서초구 (LGU+)
이경숙,700628-2827744,전라남도 서천군 오금691길 350-93,054-259-7107,성북구→서초구 (KT)
김진우,891119-1501677,세종특별자치시 동구 잠실95길 801 (예원강읍),063-970-5816,서초구→송파구 (KT)
강미경,791027-2485416,부산광역시 양천구 논현25로 229 (정식류리),010-2457-5983,송파구→성북구 (SKT)
윤현주,850404-1772741,광주광역시 송파구 논현거리 434,019-044-3240,송파구→서초구 (LGU+)
윤승현,730731-1739966,경상남도 서천군 잠실9가 960-36,062-439-7429,송파구→노원구 (LGU+)
곽민석,990114-2857524,전라남도 평택시 개포065가 지하335 (순옥이마을),031-802-7112,송파구→성북구 (KT)
박진우,661007-2327797,대전광역시 노원구 선릉거리 411 (미영윤리),019-281-3721,서초구→해운대구 (KT)
문서윤,570830-1718213,서울특별시 관악구 서초중앙로 777,044-228-5566,유성구→수성구 (LGU+)
권영식,881207-2429780,제주특별자치도 화성시 논현로 597 (건우한최면),064-726-3280,해운대구→수성구 (KT)
신수빈,830225-1360221,충청북도 고양시 삼성5거리 667 (현우박주마을),055-321-0613,남동구→강남구 (LGU+)
최정호,970405-2315425,전라북도 포천시 도산대394길 318-2,043-253-7657,노원구→해운대구 (LGU+)
조민지,791110-2409898,인천광역시 용산구 압구정로 지하878 (하윤남면),062-692-1053,강남구→남동구 (LGU+)
우지아,731017-2504630,울산광역시 관악구 양재천로 146 (현준남나읍),033-072-0113,해운대구→노원구 (KT)
손정수,680916-1653948,세종특별자치시 용산구 논현로 31-5,063-676-2090,수성구→유성구 (KT)
성채원,901227-1505629,충청남도 군포시 오금거리 707 (은지지김마을),061-873-0451,유성구→수성구 (LGU+)
박예은,630221-1899776,대구광역시 노원구 선릉9가 356-99 (성수장손마을),061-561-9425,서초구→강남구 (SKT)
윤예원,820413-1114463,경기도 가평군 백제고분거리 872-74,041-361-6188,해운대구→강남구 (SKT)
김건우,020610-1927630,충청남도 청주시 흥덕구 서초중앙5거리 536-85,055-395-6137,노원구→남동구 (SKT)
한정훈,910423-2544150,세종특별자치시 광진구 양재천길 846-27,010-1300-0413,유성구→서초구 (LGU+)
황도윤,670915-1390946,울산광역시 은평구 압구정945가 312,061-997-9907,남동구→서초구 (KT)
박순자,671029-1947312,경상북도 괴산군 선릉거리 390 (현숙권동),063-481-1317,노원구→수성구 (KT)
이예준,780918-2714923,광주광역시 금천구 논현610길 958-65 (민재김이마을),055-804-9187,서초구→수성구 (LGU+)
박준혁,561023-2865416,울산광역시 성동구 학동길 256-1 (은경송백리),031-423-5973,강남구→남동구 (KT)
송현정,600913-1555589,충청북도 부천시 오정구 반포대가 22,019-858-1670,성북구→강남구 (KT)
최승현,580208-2798435,대전광역시 강서구 서초대2로 89 (영미박마을),054-847-1296,송파구→서초구 (LGU+)
김상철,700205-1842287,경기도 양주시 서초대로 682 (서윤김양읍),053-373-3777,강남구→해운대구 (KT)
김영철,861005-2463546,대구광역시 서초구 서초대길 526,032-923-6534,노원구→남동구 (LGU+)
권광수,710216-1489933,경기도 안성시 개포93길 911 (순자권김마을),064-747-1690,남동구→서초구 (KT)
최정식,940530-1451284,대전광역시 강북구 강남대54거리 524,063-698-9992,남동구→서초구 (SKT)
김영식,720330-2846925,광주광역시 관악구 강남대98길 929-31,011-354-3586,서초구→노원구 (LGU+)
최정남,640521-2635593,전라북도 안성시 잠실537길 654,044-395-2753,강남구→노원구 (SKT)
오진우,780312-1485548,대구광역시 강북구 강남대로 403 (민재송면),063-789-4896,남동구→서초구 (KT)
김승현,041106-1339499,세종특별자치시 마포구 삼성2길 779,031-014-1884,노원구→강남구 (LGU+)
김정호,760514-1112884,서울특별시 종로구 삼성거리 247-30,044-999-4853,강남구→노원구 (KT)
최성수,651229-2501583,충청남도 천안시 동남구 역삼로 829-63 (상철홍읍),044-792-2341,송파구→강남구 (KT)
장시우,980908-2335421,경상남도 고양시 일산동구 봉은사로 454 (옥순이마을),055-084-3768,해운대구→성북구 (SKT)
김영일,740725-2384434,충청남도 양주시 학동가 213 (정수이읍),019-436-9709,수성구→서초구 (KT)
한영길,950803-1288056,전라남도 포천시 압구정67가 262-45 (영환백면),063-223-9898,노원구→강남구 (KT)
홍현지,730517-2172274,강원도 제천시 학동로 538-33,062-242-6423,남동구→수성구 (SKT)
김도윤,990331-2190581,대구광역시 도봉구 선릉3로 730-10,032-142-8178,성북구→강남구 (LGU+)
오민서,020428-2310418,경기도 용인시 수지구 강남대로 917-8,055-220-7223,남동구→해운대구 (SKT)
전은경,690109-2486162,경상남도 안산시 상록구 언주길 69,055-204-7876,성북구→해운대구 (LGU+)
서춘자,780731-1257880,울산광역시 강동구 서초대28가 212-10 (정자김배리),055-450-5730,유성구→강남구 (KT)
황정훈,770923-1667851,전라북도 여주시 테헤란로 259-63,055-775-3726,강남구→유성구 (SKT)
김민서,870604-1895794,광주광역시 은평구 영동대가 80,016-458-8707,유성구→남동구 (LGU+)
이성수,800816-1315161,부산광역시 광진구 도산대8길 25,062-659-7595,해운대구→성북구 (LGU+)
김영일,610125-2162804,경상남도 태백시 오금로 339 (예진윤김읍),032-964-6300,남동구→서초구 (KT)
