name,ssn,phone_number,email,address,car_plate,phone_model,residence_type,job_type,blood_type,favorite_color,marital_status,pet_type,vehicle_type,family_size,hobby,birth_year,mobile_carrier,sns_usage
홍옥순,050630-3221199,010-3530-2493,ji@yu.kr,전라남도 담양군 담양읍 양각리,579바7143,iPhone SE,다가구,디자이너,B,주황,이혼,없음,자전거,6,등산,1995,LG U+,미사용
박현정,920123-1115367,010-3473-6453,yeonghou@ryujangi.com,전라북도 남원시 보절면 서치리,968마6782,Pixel 4a,기숙사,연구원,O,빨강,미혼,새,오토바이,3,음악감상,1985,SKT,미사용
김현우,460209-2948367,010-9010-6691,ogjagim@ju.kr,충청남도 계룡시 엄사면 도곡리,866마3188,iPhone 8,다가구,공무원,O,보라,기혼,새,승용차,6,쇼핑,2001,알뜰폰,사용
강유진,700402-2412231,010-8500-7180,gyeongsugweon@gimi.net,서울특별시 양천구 신월동,853사5508,iPhone 6S,다가구,자영업,B,초록,기혼,강아지,트럭,4,등산,1981,LG U+,사용
이현지,121229-4093233,010-8540-7225,ojunho@iiyang.org,서울특별시 양천구 목동,859가9804,Galaxy S23,연립주택,공무원,AB,주황,이혼,고양이,승용차,3,등산,1984,SKT,사용
김수진,720524-2771626,010-7829-1476,ru@anjo.kr,세종특별자치시 세종시 연동면 문주리,80라4789,Galaxy M12,오피스텔,교사,A,파랑,기혼,강아지,승용차,6,자전거,2002,알뜰폰,미사용
배예준,880903-2841268,010-2904-7859,pmin@jusighoesa.net,전라북도 완주군 고산면 성재리,621바7427,Pixel 5,연립주택,디자이너,O,빨강,미혼,물고기,트럭,2,독서,1997,LG U+,미사용
김현숙,070508-4386146,010-6997-3548,ogim@jusighoesa.com,광주광역시 광산구 연산동,594다5483,Oppo Reno 6,다가구,회사원,O,파랑,이혼,햄스터,트럭,4,여행,1994,KT,사용
이하은,090119-3231799,010-8834-4723,hanboram@yuhanhoesa.com,대전광역시 대덕구 평촌동,511나1505,Sony Xperia 5 II,단독주택,의사,O,주황,사별,고양이,승용차,6,쇼핑,1985,LG U+,사용
김민준,531026-1221534,010-9168-5397,gyeongjasong@eomgimgim.org,강원도 정선군 임계면 도전리,412라7306,iPhone 7,단독주택,의사,A,주황,미혼,물고기,전기차,5,사진,1988,LG U+,사용
양하은,840604-2628488,010-5549-4510,miyeong67@ju.com,인천광역시 미추홀구 문학동,793라6949,Galaxy M12,오피스텔,간호사,A,파랑,기혼,파충류,버스,4,영화감상,1993,SKT,사용
이정수,881019-1398030,010-2436-6060,yeongil18@ibagjang.kr,강원도 원주시 지정면 월송리,160나9012,LG Wing,기숙사,프리랜서,O,초록,이혼,고양이,전기차,5,사진,1998,LG U+,미사용
장지민,091130-4531214,010-6768-8763,jiweon73@gimii.org,세종특별자치시 세종시 조치원읍 상리,602사6986,iPhone XR,기숙사,프리랜서,AB,보라,기혼,없음,전기차,1,사진,1993,알뜰폰,사용
김채원,091016-3636467,010-8332-7154,ijunho@jusighoesa.com,세종특별자치시 세종시 전의면 관정리,459바4535,iPhone XR,아파트,교사,B,흰색,기혼,없음,버스,3,독서,1983,SKT,사용
김도윤,640422-2537353,010-5678-5034,ngim@jusighoesa.net,부산광역시 강서구 동선동,612바7146,Galaxy S9,아파트,간호사,O,노랑,미혼,강아지,트럭,6,요리,1995,KT,미사용
박상훈,100227-3077066,010-3117-1786,seonghogim@igugim.com,강원도 원주시 부론면 법천리,983사6842,Galaxy S10,연립주택,프리랜서,AB,흰색,사별,고양이,자전거,3,등산,2000,LG U+,미사용
박현우,900114-1477441,010-8127-1843,jiyeong76@yu.com,전라북도 익산시 춘포면 천서리,106사6699,LG V60,다가구,자영업,O,노랑,미혼,햄스터,승용차,4,운동,2003,SKT,미사용
송서영,940103-2263821,010-8413-4832,jiweon69@jusighoesa.com,광주광역시 동구 장동,844라6232,Galaxy A12,원룸,마케터,B,노랑,사별,새,SUV,5,게임,1998,LG U+,미사용
배지원,621212-2298895,010-2851-7846,ihyeonsug@ju.com,충청북도 증평군 도안면 연촌리,159마1784,Galaxy A52,아파트,공무원,B,흰색,사별,햄스터,트럭,1,영화감상,1986,알뜰폰,사용
구현숙,030924-3837180,010-3095-8582,phwang@ju.net,전라남도 나주시 공산면 신곡리,414가8666,Pixel 4,원룸,회사원,O,회색,미혼,파충류,전기차,4,쇼핑,1987,KT,사용
이정식,800412-1494627,010-7412-5496,yangjunyeong@jogim.kr,경상북도 군위군 고로면 석산리,706마7310,Galaxy S10,다가구,디자이너,O,흰색,기혼,고양이,SUV,6,사진,2005,KT,미사용
김서영,110911-4090141,010-6716-3628,doyunbag@yuhanhoesa.kr,충청북도 청주시 청원구 내수읍 우산리,586사1406,LG Wing,단독주택,자영업,A,흰색,이혼,파충류,SUV,5,게임,1993,알뜰폰,사용
김정희,690218-2278431,010-5788-2429,vbag@yuhanhoesa.com,경상남도 거제시 하청면 대곡리,262나5694,iPhone 12,빌라,의사,O,노랑,기혼,강아지,승용차,5,사진,2010,LG U+,미사용
서현우,960207-1781022,010-8125-4677,yeeun29@gimgim.com,경상남도 김해시 진례면 신월리,561바2253,Galaxy S23,빌라,간호사,B,파랑,기혼,파충류,오토바이,6,여행,2001,LG U+,사용
박정호,841003-1452226,010-6474-6316,yunjeonghyi@ju.com,경상북도 고령군 성산면 기족리,157다5226,Galaxy A52,오피스텔,학생,O,파랑,사별,물고기,승용차,5,독서,2002,LG U+,사용
박진호,530407-2309194,010-8989-7539,jinu10@jusighoesa.org,전라남도 함평군 해보면 금덕리,255사3356,iPhone 14,다가구,공무원,B,주황,기혼,파충류,오토바이,3,독서,2002,SKT,미사용
김상호,100929-4632172,010-3616-2535,juweon03@bagio.kr,부산광역시 영도구 봉래동5가,838바1675,Galaxy A52,단독주택,학생,O,분홍,미혼,물고기,자전거,5,사진,1986,알뜰폰,사용
이병철,930205-1645066,010-2964-2034,bhan@hanhani.org,대구광역시 북구 침산동,268나6408,Galaxy S22,기숙사,프리랜서,A,보라,이혼,물고기,오토바이,3,운동,1982,알뜰폰,사용
박하윤,110201-3217267,010-2460-5846,ai@yuninam.kr,강원도 태백시 장성동,287가8109,Sony Xperia 1 III,연립주택,교사,B,보라,미혼,파충류,전기차,1,영화감상,1992,SKT,사용
김지혜,510603-1345329,010-4246-5680,hanjuweon@jusighoesa.net,서울특별시 도봉구 쌍문동,496마6673,Galaxy M12,단독주택,연구원,AB,초록,사별,파충류,자전거,5,게임,1986,SKT,미사용
박영희,830120-1435396,010-9199-2671,wi@yuhanhoesa.kr,충청남도 금산군 제원면 대산리,900다2902,Vivo Y72,연립주택,교사,A,보라,기혼,새,트럭,3,사진,2006,SKT,사용
고순옥,670328-1554159,010-7265-8209,hyejin57@igimhong.kr,인천광역시 계양구 갈현동,485라7624,Pixel 8,아파트,마케터,B,주황,기혼,파충류,승용차,5,수영,1981,알뜰폰,미사용
이명숙,060603-3086835,010-1852-6547,jeongsig81@igimi.kr,경상북도 울진군 기성면 황보리,637다3774,Pixel 7,기숙사,프리랜서,A,검정,기혼,파충류,SUV,6,게임,1997,SKT,사용
김옥순,750318-2351560,010-6034-6834,geonugim@bagyunyu.com,서울특별시 동작구 상도1동,521마3405,iPhone 7,오피스텔,마케터,O,보라,기혼,새,자전거,1,영화감상,2005,알뜰폰,사용
김정남,761015-1944173,010-5112-3411,sonjeongung@yuhanhoesa.kr,광주광역시 동구 호남동,300다1147,Galaxy S22,단독주택,개발자,O,파랑,기혼,햄스터,자전거,4,요리,1991,SKT,미사용
권상현,550904-1458880,010-5277-8078,seoyuncoe@hai.kr,인천광역시 중구 북성동3가,506다9659,Pixel 4a,아파트,교사,AB,빨강,기혼,파충류,승용차,4,요리,1983,SKT,사용
강준서,720727-2751995,010-2600-6296,yejun50@songjeongim.net,전라북도 진안군 용담면 와룡리,377바7777,Galaxy S10,아파트,디자이너,AB,파랑,이혼,햄스터,트럭,4,여행,2008,SKT,미사용
박경희,811223-2054453,010-2685-7368,pbag@yu.com,서울특별시 강남구 일원동,92나8899,Galaxy S9,연립주택,자영업,AB,분홍,이혼,물고기,자전거,6,독서,2003,SKT,사용
손영호,680611-2357655,010-8867-5823,bageungyeong@jusighoesa.com,충청남도 천안시 서북구 와촌동,643라3940,LG Q92,연립주택,공무원,O,파랑,사별,고양이,전기차,1,등산,2005,SKT,미사용
김건우,580503-2690653,010-5412-3374,ryu@ibae.org,강원도 영월군 김삿갓면 옥동리,77가9272,iPhone 6S,기숙사,개발자,AB,보라,기혼,햄스터,승용차,1,운동,2008,LG U+,사용
노정호,450329-1462238,010-3397-3131,yeongmiseo@yu.com,충청남도 서산시 부석면 봉락리,726바5781,Sony Xperia 1 III,빌라,공무원,B,보라,미혼,고양이,오토바이,6,게임,1986,LG U+,미사용
윤하윤,770905-2017378,010-1807-1182,seohyeongang@ju.net,경상남도 고성군 하일면 학림리,201가4987,LG V60,빌라,의사,B,노랑,사별,강아지,승용차,2,음악감상,1996,KT,미사용
이정자,600528-1600106,010-1907-9587,jaeho10@jusighoesa.org,충청북도 보은군 회인면 눌곡리,489나9737,Oppo Find X3,원룸,자영업,O,분홍,미혼,햄스터,전기차,6,자전거,1982,LG U+,사용
김정수,870512-2898753,010-3795-8086,jeongnam37@gimi.com,충청남도 서천군 비인면 다사리,546다2703,Sony Xperia 5 II,원룸,연구원,B,노랑,미혼,물고기,SUV,4,영화감상,1983,KT,미사용
오성훈,960918-1644225,010-1199-2140,hgang@yugang.com,대전광역시 동구 세천동,860가3809,LG Wing,연립주택,간호사,O,파랑,미혼,새,승용차,5,운동,2006,SKT,미사용
박정순,110421-3016977,010-4772-8220,sanghyeoni@coeigim.com,경기도 안성시 양성면 방축리,358가6775,iPhone SE,아파트,디자이너,AB,보라,사별,새,승용차,6,독서,2002,SKT,사용
윤예준,660219-1610262,010-9718-8110,sangceoli@yuhanhoesa.kr,부산광역시 사하구 구평동,256나4074,LG V60,기숙사,간호사,B,흰색,사별,없음,트럭,3,쇼핑,1996,LG U+,미사용
이정자,451114-1254416,010-4373-4646,seunghyeon15@yuhanhoesa.kr,인천광역시 계양구 작전동,502나4528,Galaxy A32,빌라,학생,A,초록,이혼,고양이,오토바이,6,수영,1990,알뜰폰,사용
최민재,530808-1949740,010-1545-8959,baghyeonju@gimseoheo.com,경상북도 영주시 부석면 임곡리,124마6559,OnePlus 8T,기숙사,자영업,A,분홍,이혼,없음,승용차,6,독서,1985,SKT,미사용
김영호,451215-1244755,010-4306-4992,yeongmi51@ibag.org,전라남도 보성군 회천면 봉강리,99나7889,LG Velvet,아파트,교사,O,노랑,이혼,파충류,전기차,4,요리,1985,알뜰폰,미사용
김은경,640921-1543474,010-8782-9891,gimyeongho@ju.org,대구광역시 북구 노원동1가,643라6386,iPhone XR,연립주택,학생,O,보라,미혼,없음,전기차,3,음악감상,1996,알뜰폰,사용
류지훈,110611-4439829,010-3628-8134,ujin03@jeongiman.kr,강원도 삼척시 하장면 중봉리,608사1783,Huawei Mate 40,빌라,자영업,B,파랑,미혼,없음,전기차,4,게임,1982,알뜰폰,미사용
이예지,500118-2941268,010-4814-6593,jeonghyigim@coebag.com,제주특별자치도 서귀포시 대정읍 보성리,64나5377,LG G8,원룸,학생,A,회색,기혼,물고기,SUV,6,운동,1982,SKT,미사용
김미영,640816-1215196,010-7550-6766,vgim@yuhanhoesa.kr,제주특별자치도 제주시 삼도이동,103마8030,Galaxy S9,단독주택,연구원,A,보라,사별,강아지,자전거,2,수영,1997,알뜰폰,미사용
최현우,641213-2286750,010-3868-3942,mijeong02@gimyu.kr,울산광역시 동구 화정동,558나3883,Motorola Moto G Power,다가구,회사원,AB,파랑,이혼,파충류,승용차,5,영화감상,2010,KT,미사용
박채원,141110-3591384,010-5850-9654,seoyeong13@ju.kr,대구광역시 중구 동인동2가,838마7286,Realme GT,아파트,마케터,A,주황,사별,없음,승용차,6,영화감상,2001,LG U+,미사용
오정남,751202-2862543,010-9786-1525,minjaegim@yuhanhoesa.com,경상북도 청도군 운문면 정상리,585가3780,iPhone 11,오피스텔,학생,B,파랑,미혼,물고기,승용차,3,운동,2008,알뜰폰,미사용
김정자,570409-2925501,010-1160-8655,jinho69@jusighoesa.org,세종특별자치시 세종시 부강면 문곡리,902라5878,OnePlus 8T,원룸,간호사,B,노랑,기혼,없음,자전거,6,음악감상,1997,SKT,사용
박종수,030328-3958640,010-2562-4377,seonghyeongweon@yu.kr,광주광역시 광산구 도덕동,554바5606,iPhone 7,기숙사,공무원,AB,주황,사별,햄스터,승용차,3,요리,1993,알뜰폰,사용
양경자,091025-3360630,010-9233-4764,seoyeongceol@ju.com,전라남도 해남군 옥천면 영신리,962나3839,LG V60,기숙사,자영업,AB,회색,기혼,고양이,SUV,2,독서,1985,LG U+,사용
안성호,590529-2251792,010-8695-7522,jeongjaehyeon@yuhanhoesa.kr,강원도 강릉시 성내동,470바3791,Xiaomi Poco F3,오피스텔,회사원,A,흰색,기혼,파충류,SUV,5,게임,1991,SKT,사용
박혜진,880107-2192884,010-9341-5969,qi@gimi.com,전라남도 나주시 청동,468바9442,LG V60,단독주택,개발자,AB,빨강,기혼,햄스터,오토바이,1,자전거,2002,SKT,사용
이광수,931206-1635761,010-2565-8681,yeongsui@gimigim.net,전라남도 함평군 학교면 석정리,474라7619,LG Wing,단독주택,공무원,A,빨강,사별,물고기,전기차,3,게임,1986,LG U+,사용
이예준,870105-1668057,010-2852-4157,seojungim@baggoca.org,경상남도 거창군 신원면 양지리,184바3040,Sony Xperia 5 II,오피스텔,교사,AB,검정,미혼,없음,버스,5,자전거,2003,SKT,사용
윤순자,030707-4967754,010-9092-2979,bi@yuhanhoesa.com,강원도 동해시 만우동,865가9861,Pixel 4a,연립주택,연구원,AB,노랑,미혼,파충류,오토바이,6,쇼핑,2000,알뜰폰,사용
서은서,590517-2421467,010-4965-9836,scoe@hwangi.com,제주특별자치도 제주시 한경면 고산리,464나1753,Pixel 8,단독주택,공무원,AB,검정,기혼,없음,오토바이,5,영화감상,1991,SKT,사용
김성진,941013-1258604,010-5817-4321,gyeongsugna@yu.kr,대전광역시 대덕구 신일동,740사7357,iPhone 6S,연립주택,디자이너,O,파랑,기혼,강아지,오토바이,6,운동,1988,알뜰폰,미사용
권성민,100301-3544885,010-7011-8733,yejungim@ju.com,대구광역시 북구 검단동,903마8157,iPhone 13,원룸,공무원,AB,파랑,기혼,새,SUV,3,독서,2002,LG U+,미사용
장민석,820929-2177302,010-8786-4701,junhyeog26@yuhanhoesa.com,충청남도 보령시 웅천읍 성동리,73다5512,OnePlus 9,다가구,개발자,O,흰색,미혼,새,승용차,2,요리,1993,알뜰폰,사용
오미경,851226-2336895,010-3853-3029,xmun@yu.com,대전광역시 대덕구 상서동,417사1427,Motorola Edge 20,다가구,프리랜서,A,주황,이혼,물고기,트럭,1,등산,2002,알뜰폰,미사용
윤병철,440331-2148216,010-8269-2829,iyeonghwan@ju.kr,충청남도 서천군 장항읍 송림리,297사1544,Sony Xperia 1 III,아파트,자영업,B,분홍,이혼,파충류,SUV,5,수영,1994,SKT,사용
김서연,820519-2964773,010-7911-2429,minjae20@jusighoesa.com,전라북도 무주군 적상면 삼가리,883마4969,Realme GT,빌라,연구원,AB,주황,기혼,고양이,SUV,3,영화감상,2009,SKT,미사용
최진호,941004-1066564,010-4319-5693,bageunju@yu.com,전라남도 무안군 해제면 석룡리,441마5752,iPhone 11,오피스텔,간호사,B,검정,미혼,파충류,오토바이,1,요리,2005,알뜰폰,사용
윤채원,481209-2807241,010-6237-6855,gimyeongho@gimjeon.com,울산광역시 북구 양정동,640다8977,Xiaomi Redmi Note 10,원룸,디자이너,AB,파랑,미혼,새,자전거,1,여행,1989,알뜰폰,사용
안아름,460226-1041782,010-8360-7658,junyeonggim@yuhanhoesa.com,대구광역시 중구 교동,882바9428,iPhone SE,원룸,간호사,B,분홍,미혼,고양이,자전거,3,게임,1989,LG U+,미사용
엄영수,760608-1258193,010-5892-5309,munmiyeong@yuhanhoesa.net,경기도 수원시 장안구 파장동,413바1237,Oppo Reno 6,빌라,회사원,O,회색,기혼,물고기,SUV,6,자전거,2010,LG U+,사용
임서영,790412-1742116,010-3715-4245,eheo@bagyun.kr,전라북도 전주시 덕진구 산정동,480다4577,Motorola Moto G Power,기숙사,회사원,O,흰색,미혼,새,자전거,5,요리,1985,KT,사용
박수민,740405-1538334,010-6248-5521,hyeonjui@jusighoesa.net,전라북도 남원시 금동,941라5577,LG Wing,단독주택,간호사,A,초록,기혼,강아지,오토바이,3,쇼핑,1998,알뜰폰,사용
강건우,490216-1564011,010-8470-5881,usong@gogimsong.com,세종특별자치시 세종시 연서면 부동리,770사3718,iPhone 13,연립주택,마케터,A,주황,이혼,강아지,승용차,3,자전거,2000,알뜰폰,사용
이영미,540908-2353086,010-7448-5292,gweonjunhyeog@yanggimgim.org,대전광역시 대덕구 평촌동,692마3902,Pixel 4a,원룸,학생,B,보라,미혼,햄스터,SUV,4,여행,2010,KT,미사용
유수민,620324-2149843,010-2400-4733,yeweon88@igimgim.org,세종특별자치시 세종시 연동면 예양리,126다4321,Pixel 5,기숙사,교사,O,흰색,미혼,새,자전거,4,음악감상,1998,SKT,미사용
김진호,131013-4375855,010-7995-8561,yeongsui@jusighoesa.org,전라남도 여수시 율촌면 반월리,28바8600,LG Q92,기숙사,간호사,B,빨강,사별,강아지,버스,6,게임,1988,알뜰폰,사용
김하윤,810315-1504296,010-8741-3625,abag@gimgimca.com,경상남도 밀양시 부북면 제대리,919사7188,Xiaomi Redmi Note 10,기숙사,연구원,B,파랑,미혼,햄스터,SUV,4,독서,1991,KT,사용
박은서,120220-3115302,010-2813-5532,jeongsug14@yu.com,전라남도 보성군 문덕면 죽산리,487가2635,iPhone XS,단독주택,교사,A,파랑,사별,새,SUV,4,수영,1985,KT,미사용
이상철,480919-2559918,010-8475-6232,seonghun77@igim.kr,인천광역시 연수구 동춘동,960바9293,iPhone 12,원룸,자영업,AB,보라,사별,없음,오토바이,3,쇼핑,2009,KT,사용
박진우,710824-1153150,010-2045-6019,jbag@gimgimcoe.com,서울특별시 마포구 신공덕동,77바9300,Oppo Reno 6,원룸,공무원,A,노랑,미혼,강아지,승용차,6,음악감상,2008,SKT,미사용
김정식,010704-4470161,010-1310-9069,ryusangceol@coegimseo.kr,인천광역시 서구 가좌동,735다8163,Xiaomi Mi 11,다가구,프리랜서,AB,회색,이혼,새,승용차,3,수영,1994,SKT,미사용
김서연,681003-2575686,010-1597-1622,ogjaheo@seongbagno.kr,대구광역시 남구 대명동,122라9281,Sony Xperia 5 II,연립주택,개발자,B,주황,미혼,햄스터,버스,1,수영,1987,알뜰폰,미사용
최상호,050210-4699752,010-8516-9715,sinjunho@yuhanhoesa.com,경상남도 밀양시 상남면 동산리,61사1973,OnePlus 8T,단독주택,자영업,AB,파랑,미혼,고양이,트럭,3,여행,1998,LG U+,사용
김예진,830820-2126768,010-7273-4480,gyang@bagi.kr,울산광역시 남구 무거동,997다7847,LG G8,다가구,디자이너,B,파랑,이혼,파충류,버스,5,등산,2006,SKT,사용
이미정,580523-1434261,010-6329-1752,yeeun62@bagjeon.org,울산광역시 울주군 온양읍 외광리,272라8787,LG Velvet,단독주택,공무원,O,주황,사별,없음,버스,2,영화감상,1980,KT,사용
심성수,830914-2555879,010-4489-2215,yeongsug98@gimgim.com,울산광역시 중구 학산동,837나9322,Galaxy S20,원룸,교사,A,검정,미혼,햄스터,전기차,4,운동,1994,KT,사용
차영순,671126-1134842,010-9209-1129,ho@jusighoesa.com,제주특별자치도 제주시 삼양일동,294가9610,iPhone 12,다가구,교사,B,초록,미혼,고양이,SUV,4,요리,2010,알뜰폰,미사용
김윤서,021220-4256391,010-2105-2546,gimsangho@jusighoesa.com,경기도 파주시 조리읍 능안리,887나4563,LG Q92,아파트,의사,A,분홍,이혼,고양이,오토바이,1,등산,1986,LG U+,사용
김숙자,570422-2935000,010-2687-5459,yeongsunbag@jusighoesa.org,세종특별자치시 세종시 금남면 축산리,583가2235,Pixel 4,빌라,마케터,B,검정,기혼,고양이,자전거,4,게임,1981,SKT,미사용
남정호,540102-2558168,010-2727-7140,tbag@songang.com,경상북도 봉화군 재산면 남면리,758사7480,Galaxy A12,다가구,학생,A,빨강,미혼,햄스터,버스,4,음악감상,2005,알뜰폰,미사용
