name,ssn,income,address,phone_number,matching_key
안준혁,601013-2135926,13837287,경기도 양평군 지평면 월산리,010-3414-4200,e9f96106e992854ed725eb94d0e8aa75b34ca959820ff40aff4928614670df87
박시우,791225-1925282,56474265,부산광역시 수영구 망미동,010-4914-2278,e0f5c33ee2337693d9244da9c12c4ca31a738bf3a5dc7fde8822604177afe29d
이준호,610425-1722938,78048230,세종특별자치시 세종시 연기면 보통리,010-1603-4632,3415864db40ce0ac4977bfe8a67ac62a8a790c982c1ad31482df349abff437be
이수진,460313-1129541,68159257,전라북도 장수군 장계면 명덕리,010-1843-4787,92d8a9ad0296fdeae8484b13a8d845239972e3c250b4ca44eca142ee72b09776
김준호,550419-2210910,71933308,서울특별시 관악구 봉천동,010-3073-9769,6f133c05ffac10310af215d1a441e3e8e54080f7be611f54969650dc35920176
김영미,870321-2593440,3747406,대구광역시 남구 봉덕동,010-5931-5185,1d7d2555c2791e6b094b6e6e02e07744e44de0223970e90edf91a2f553f46308
김영진,140317-3756038,80217508,강원도 양양군 현남면 동산리,010-3812-6125,966ef17f759e72f28e23f48cb205b927b74661cb460dc75e6a5b0b427c6cb7f4
김민재,690524-2688463,13545783,서울특별시 서대문구 연희동,010-7359-8061,51f55f674f6e373c5802982cfdbe35f12b2ddc3e37ec4e041bb18351f23cbaf1
김시우,021204-3171472,54790284,부산광역시 연제구 거제동,010-3261-9873,d267f6b3730438d30b4f14de2adfb0cb0ae8efdd8ad184d7f0e578cdb6d49781
조영희,660911-1459403,36755459,부산광역시 금정구 장전동,010-4949-1952,e8796c9c011ffbcdff5e98adc8aea90b5ce050cb75c38568ebe8cb9013069af8
이민재,680816-1827453,24217312,경상남도 사천시 곤양면 환덕리,010-8701-5108,66c6fcdb281989d9a3f15eff6606b0b019ae0822b580de5d4935d23b054762ce
윤성민,741112-2390557,45046970,경기도 오산시 내삼미동,010-7367-2118,0ec189e36faa4bf68789eabce6159b1b59052197a6cff872976ff126f77d7b27
김예원,441013-2203082,11798463,광주광역시 서구 쌍촌동,010-6740-8775,469c484e524d07539a9c3ca8e6c3a024b20e8d2c4ee0089d970deffa4e6a753e
배현우,140210-4362425,52114852,전라남도 곡성군 입면 대장리,010-4646-9056,ba7cc8965d409c5a4d2216a34bba74f0a04706b03d18cad8a1e6fce85b0757b8
이지민,590124-2244431,48727796,부산광역시 사상구 괘법동,010-5196-5950,076ad455ea3027eb96356c1b86cdc6d0e04c10020c80535f03498fb77313b78c
김영수,851103-1736092,34496000,경상남도 사천시 사등동,010-5782-8595,436de5c54f16ae8d42c294d64911b6b9cce4d34e4999729fd37be2d3099eac9f
최민서,070420-4323908,20699215,광주광역시 광산구 산막동,010-7339-4113,e9add0a3c597f9077abb1fcedbd3cdfb5066d22a1763af8aca078f64d4bc6987
강수빈,740731-1326178,8640717,강원도 영월군 영월읍 흥월리,010-3667-5979,374591d7f76edcba97b571ebf82708c0e9d8dfae9033a9cf056ad51d9ee46adc
김미숙,770412-1862874,14135230,광주광역시 남구 구동,010-3871-3077,99b142ca085a5c5df3bb747a6ebe3a3a6d4ed9ab11f7cd9fdfde997b4a142b81
김준서,830614-2804553,97926951,대구광역시 동구 백안동,010-5995-6290,7bd5d09d37640e0314c076a1c8c4db98ab4172bfa6bc62e4ed11125f83ca3cd7
최은주,840409-2618992,76713639,대구광역시 남구 대명동,010-1438-6926,a9cecb0d7e7f51d8c33860bb8b7ca4ad2754561e9c22fae3600f86a45b6568ec
이미경,821020-2802497,16781056,서울특별시 광진구 화양동,010-1070-3138,8a32c2be941ffee1df21ed5e0fd60b0b4ee775a6d322072972c431e92ef33302
이순옥,960325-2313178,14785583,울산광역시 남구 상개동,010-8417-2638,fcc8bf2a429305899998f306632d84a5dd694ea5aa63631e58dd9f36da0defdf
송경자,471118-2694227,35854552,광주광역시 서구 세하동,010-4244-9574,0e3679a99a23e09b33fe279b278b176b1abae84655df93ee49e725e871df357b
강정순,040805-4301029,12985939,세종특별자치시 세종시 전동면 석곡리,010-7527-1124,e3cfd3cfe73f884b0126642d349e64fbb607f72deaaa2f444f15ebcf1be9c166
김도현,920303-2042232,84838544,인천광역시 옹진군 북도면 모도리,010-4476-8443,ea9b801fc7d790038cf90305d71fbe20ee4e1c40e12819cdb1363d4d756d055a
최현우,521206-1332718,66221723,세종특별자치시 세종시 금남면 대박리,010-7503-1563,44b97e761bb7494ce8c3a9a7d2470fa7f6dc76ddee1fbda253432afe098d5036
이유진,900719-2228863,76193209,충청남도 서산시 인지면 애정리,010-2557-4091,54337d2dc05497d0a5ba95a29007257c3e936f87de2327bc91143424d2b3b4cc
이종수,920118-1694523,55684510,광주광역시 서구 광천동,010-2001-2008,9bd22e37adf4892be96ba2421987a7cf4cf2a1899bf4b338e5681b51d248d2b6
홍영호,780920-2095205,90616281,대구광역시 수성구 연호동,010-4006-6276,9928c978b2bac56281e30b42ab7eb914e6da02e26d14b31ec3dd5539b1d1045e
최현지,650829-1437673,72347077,울산광역시 동구 화정동,010-3299-7093,c5d25b2824baabd8b822d59f2761be4a6909baec72c61af7744a0ec0b4e94842
김상철,530810-1288781,84915008,서울특별시 강동구 길동,010-1303-2347,bed2f81732052fbf46eca0d1bf36a3060d0fd4d1fee70189823108c80a0a5879
이준영,751113-2187619,17612416,충청북도 보은군 속리산면 사내리,010-3464-6310,44ac7d1a2640f0cbbbfbc62e9b58742b87e182f5700b9e68a39dd2a66bc69110
김지혜,510603-1345329,12648265,서울특별시 도봉구 쌍문동,010-4246-5680,b7c267ca33dfbc6cfa63eebba99abcdc6df1b4d2dd86da3a78b166cbe3219515
장은주,850414-2704583,32367274,세종특별자치시 세종시 금남면 용담리,010-9012-5329,3043ba770d3691382adda935b2e06fee2176556f9a6a3447b62ebed15cd81077
김지현,750429-2014134,79821210,경상북도 영덕군 창수면 보림리,010-2105-7697,589abbabdf13e5902e7a4f1a57fc4e86eb790512ef44ccb1721d5509dfd41b41
백지원,091020-4280224,50436901,전라북도 무주군 적상면 사천리,010-5399-4428,cd3a81191de990e3becd4b5b6004337e57640c71497eafcc6aee3c0bbc68e159
홍하은,470909-1105909,87833480,서울특별시 도봉구 창동,010-3776-9431,36c0aaca61ba4db66548d8c0242ccb4baf817a9f835bf0d93443a52680b95545
강영숙,030205-4415476,38821906,경기도 화성시 송산면 지화리,010-7837-9686,9c280336929ecf7d5fb11bfb5fbaf9934eeae52ea25bcc426f80ca6a4fa4016f
조은영,690519-1076446,83823436,제주특별자치도 제주시 우도면 연평리,010-6608-2333,f25c5b35d5522daf3c0b967f6b99888ab2e932ea77c955079df79fa5406725b3
홍서연,700305-1445103,36554846,세종특별자치시 세종시 연기면 보통리,010-2152-3331,dce61441e1b353f37f7a200a348837249bddf2d2573a260cb6d7d492671ead5f
이윤서,621017-1488161,57114217,전라남도 화순군 춘양면 회송리,010-2765-4235,d6bab33ab50c534b3b4fec2062d207bb6eb59523d431d39e91463fc4d0c25560
고상현,560117-1493652,85467413,전라남도 광양시 다압면 고사리,010-5750-4791,31a513adfc427b161fd12e0d14e936983ce94e5f94713543132502f3ce6070e8
이상현,600423-2322963,44199826,울산광역시 남구 고사동,010-1192-6244,0f5c0de9412ff1a78bef1dac6e310f031448aacd8c5eb9526e9379a1fe411d6e
진민지,091029-3473586,51192580,세종특별자치시 세종시 연동면 문주리,010-2604-7822,e25c9427968220b5875a3e1b33a0f30bb7c5a9853784c07b531e0a10b002758a
신미숙,010418-3831047,18555256,전라남도 구례군 구례읍 신월리,010-3763-4935,655f7e625f6ab98533fef69d649ff7132b34bae574e1db1dfd1b0436ea37e5d5
고정숙,940907-1003852,3599449,부산광역시 동래구 복천동,010-3932-1994,dee2dea83e3c0030badc04cf0f69358249cf16ae71a91d28790b7e2fcb558271
박은정,920701-2736300,25772760,전라북도 진안군 진안읍 군하리,010-3967-7165,374e8171e2c001c5e44d2fbecdd784a872300bd795e78fb812f37a65fc23dfcc
이준혁,010520-4682619,47406167,인천광역시 서구 원당동,010-3384-2012,4992132f928db9c68532f08c21c43e2fc465b990de08272b7005bcc2f9efb37f
오예지,981029-1410797,7409800,충청남도 천안시 동남구 북면 운용리,010-8055-8173,10c9cd721243f830bf7d2065d281cae30f64d77c3e8c49d48a67a5eccee63503
박상현,050313-4472813,86858740,서울특별시 양천구 신월동,010-8384-2131,d70b6ac2b011497fd61a63fd3ab85399c412910602b24aa093cee32c9d18aaa5
강선영,570128-2326239,10966307,전라북도 순창군 복흥면 산정리,010-7158-6613,b001d7cb5e8723bf11fc2395263084ea42707757280408c509c25a2072f07adf
지진호,760228-2233127,17736790,충청남도 청양군 대치면 농소리,010-4949-5345,fda89d65e842aed1e422447c9d8ef7d81857ef23d89b0d72aa55fa3d695da244
박정훈,460519-2612933,54258264,대구광역시 중구 동인동2가,010-5392-8340,ffd0662aac4759e5909f50a5d0d35b9ac1e635d532912676f29165675f7a0f85
박민석,690212-1601361,83225846,강원도 인제군 남면 신남리,010-2956-1892,c463fdf21d584c7988877f493d7897b9a3b00a008af5b57d8274150fb3a6907f
이지은,810406-2882051,84867545,강원도 고성군 죽왕면 문암진리,010-3155-8226,bec18882a600aa64aafebeeb7add8ae32145ad9877dd586cd10da5e137f70be3
김민석,901223-2937284,17757179,대구광역시 중구 동성로3가,010-3692-2762,94a4ed7ca9381e5e3e91bc7ea986ff0a0093770a5037749387b2401c5ff54aff
김은정,750723-1375822,78609779,경상북도 김천시 감천면 금송리,010-5861-2867,add33eabe2e534cca06fa1781548bd0eb0b395ea9cb9ebbd174c60393ef0df09
이상현,090504-4949396,45310142,전라남도 담양군 수북면 풍수리,010-8330-1406,d34c2f3e59ddc9edc0d8e8abfea370b6523735234fab1d112c7ef829c15650ad
홍보람,510811-1182030,75043312,전라북도 임실군 임실읍 성가리,010-9588-4246,b1691f239565438b0e95bbed41f4ebf869383d99be8bc3221dd05888e0999a0b
서주원,970609-1117730,58496888,경상북도 포항시 남구 동해면 임곡리,010-1472-7482,0dc34568c6da755f14db2194548765a253964eef66c688049e85a7f9318da88b
장정희,640920-1940653,9749975,경기도 용인시 처인구 원삼면 죽능리,010-9655-5083,67d998f25832b8b6a00fb2682d8585b7d03222b4495ffef7107be6e9a0575111
박정자,800808-2230990,24649083,대구광역시 달성군 화원읍 명곡리,010-9512-6378,4f69aed46d08dda803011501afeab12d23cb221e827f67a1213ca4ca21861cce
임상철,130924-4868296,46703860,충청북도 음성군 대소면 오류리,010-7982-7404,ff9210537adfce3f0594a18a05ad0eb62704013c0140331fdd782592386aa339
류성훈,620914-1149550,76414774,전라남도 무안군 청계면 도림리,010-3176-8444,bc22d531f48e3bc00c9708858dfc38ced199cef96a728b72e5430897db26d3a8
배준영,680404-2528486,95879283,제주특별자치도 서귀포시 대정읍 하모리,010-5718-4691,a478951379ecfa16b612bc5ab0a80c9eb26f74ed6ae2fc89c0c86aed3c79e247
백옥순,930707-1910123,22694692,경기도 오산시 내삼미동,010-4895-6995,0b25c4a651bb59de27bc98960b8b9d8452c65526c39b99e888dfe2774c3c7153
장영일,000128-4505471,54616910,대전광역시 유성구 용산동,010-3266-3310,27725858af8a985269414e5abaa855db1e752477ae8d72216ca8ff44d406cff6
성정웅,780325-1320435,15177763,세종특별자치시 세종시 연기면 산울리,010-2010-3439,0b3a336edb8267df8b70993499240093f90ea3b71bbb7d4f7941a86e5f42b75c
김영희,140718-3636493,9209940,세종특별자치시 세종시 장군면 대교리,010-3797-9149,eceb684db4fb8c3c3ba42e338fd9ec318153d8cca40442234cbc95ba2f8de9d6
구영길,720731-2740077,11985539,부산광역시 동래구 복천동,010-4597-8895,164a8bad31e4de679d2361b68f8973f9e846828bc682afb6522ea5f7ae3bdd37
조은서,091001-4000952,88824024,제주특별자치도 제주시 애월읍 애월리,010-4180-1196,235d30af6f591cccbd3441fbb5aca9f1c573b0057f903a3cd6634de11e707d67
권미숙,530513-2594971,63345958,경상남도 함안군 칠서면 태곡리,010-9665-7556,f99cf3f3a272a0348b71d7b2811472edfaae7f22e784e559557ea4ed9f6ea360
이정남,560317-2482646,40143244,인천광역시 미추홀구 문학동,010-4157-4084,94c5735e008c2bd4f42b0d9625898ef953a2ffcaf8c4a3058a8a306398457d8e
박지우,921002-1516952,80608945,충청북도 청주시 흥덕구 오송읍 정중리,010-7255-3721,38e370b4cd292cd3c8b9cd15c3be281bdd0004fa9934327abc5e0974bd072348
이미숙,060817-3833989,83300383,충청남도 천안시 동남구 병천면 탑원리,010-4020-4574,3c6adc088d16b340479261298724e8c14e983c581769d47f36a445aa0c9f8daf
이건우,720722-2280349,73086856,강원도 태백시 통동,010-4716-3147,38fe2802efb6fef4e8b660a15876b69c93072e9867baeb01a1f068dd5930ce8a
송지혜,791026-2241036,46264324,세종특별자치시 세종시 금남면 달전리,010-7529-8079,fa88c4c0118babed8c0aa16f7c7305276e4001f8adc178e19588fcedc0d42f67
이상현,920709-1452334,4621904,대구광역시 달성군 옥포읍 교항리,010-9194-1326,e519867cc133ab92ad19b0ae05d62a9254c9ac67c22d6e09864a3ca1b015e9f3
나아름,980106-2797486,11825167,인천광역시 남동구 서창동,010-4444-9894,46d263e5b93ae153da87fa1083d12b4ac12d283eb6902ecb714a7689cb42698f
조서윤,061030-3724523,26367571,인천광역시 중구 해안동4가,010-1946-4572,dca06f9f11b463e53141059e6836e81ca42244e1fd91cafa5fac1882493a9155
이우진,830726-2895189,43923629,대구광역시 달서구 상인동,010-9380-9459,03d94ee04d12baacf56cdbc5f3b8a3bd35464cdc37a85d74d11c9137578d03eb
권상현,460906-2327322,89745150,울산광역시 울주군 삼남면 상천리,010-8385-7781,555c0cf6dd0df2870ae48f1c71eec438c4b8a605dfec7da40ee38a735d5e6d13
김민수,060327-3303266,2111500,부산광역시 부산진구 부암동,010-7013-9203,cb8321474b8054b07364a506f135abe457098d5d790428f04d1029011035f2ba
김현우,471207-1852182,55287874,광주광역시 북구 누문동,010-5458-1420,20eacad4ee2118447f722767b29772420c281b309c3457653228aec9e85ddb81
문정자,900714-2896712,31489935,강원도 동해시 망상동,010-4187-4743,3f090d227b167408b85da89653c51665870c6a36700a53ce7a7ab3b931c1612e
김경자,141114-3444399,89986610,충청북도 증평군 도안면 연촌리,010-4190-4940,40666575b9ac9cbcbe515328f927d85b5d9131f064f7c78626eabfae6fe9fb62
이하윤,751231-2060398,26528847,전라북도 완주군 봉동읍 용암리,010-6128-2584,d1c24d0eb35e0e6945e87c17f6cfe85c2387951e1ea8c81751eb7bb298517137
김정남,970127-1939340,43372432,충청남도 금산군 금산읍 상옥리,010-5264-8847,cf37db9f367794db6d2177b6593c02bd6ddca7bcd5849ac47d3f4e8d32bd74ce
한유진,970518-2070741,84206279,인천광역시 부평구 구산동,010-9347-9813,729ffa6a41d13ed5664559d456a69126ab414c8af12fc74f33f36b7047da2d4d
최영진,600222-2656893,14319717,인천광역시 옹진군 연평면 연평리,010-9253-1131,e3eacb2f243e32cd6d67b90fa4f371d3a94005fe9ac0953ce2e4d89f414072ae
김민준,780830-1146904,21389885,제주특별자치도 제주시 아라일동,010-3071-4090,f76084b17e336bd50484f1fdb3b389fc8c8ed1f3e5d36fa9adc1e5c307784080
김은주,651210-2838266,33959570,대구광역시 남구 대명동,010-4660-9231,9dd87b553e1e6312b618de015a32a44aabc1967ab26d6ae23b916a2e1b40e25c
이유진,650919-2860292,63632180,강원도 양양군 현북면 하광정리,010-3150-7158,1391e90224322f2c89fe19adf00b6b194a54a2bceda4d9c9bd656c1dde885ba8
김도윤,810204-2652125,28621166,대전광역시 유성구 상대동,010-5366-1240,82db79db61cb7e61a451232cad83c69fc216e5bc272f1090eb2e9ce7ede054f0
