address,birth_year,blood_type,car_plate,email,family_size,favorite_color,hobby,job_type,marital_status,mobile_carrier,name,pet_type,phone_model,phone_number,residence_type,sns_usage,ssn,vehicle_type,mk_serial_number,matching_key
대구광역시 동구 미대동,1999,AB,618라2609,bagyeongjin@jusighoesa.kr,1,흰색,운동,연구원,미혼,알뜰폰,최영철,고양이,iPhone 6S,010-7994-4693,빌라,사용,650106-1724623,자전거,data2_20250602185128961493_24,1ab0a435d42a43cd2a2affa30eeeff0bf8adc0fe490c461c2b46799d947f8038
울산광역시 동구 화정동,1991,A,374바7904,minji41@ju.net,4,노랑,요리,개발자,미혼,KT,김지원,새,Pixel 4,010-4029-7469,단독주택,미사용,530112-2283134,버스,data2_20250602185128961493_25,215ca2df57c545ebf2f4be6da5f4364790d08b7b5402406e41787308f747279e
전라북도 익산시 여산면 태성리,2003,O,394라4501,yuseongsu@mingim.com,2,초록,여행,마케터,미혼,LG U+,김지현,강아지,Galaxy Note 10,010-5187-2329,원룸,미사용,970202-1663391,전기차,data2_20250602185128961493_26,2d2bfc59202567ccb8e8596026362ceec8abe0d4bbc47420613068843cc236e8
세종특별자치시 세종시 한솔동,2003,O,59바3472,pi@heoseo.com,6,검정,여행,마케터,기혼,SKT,전영일,새,Galaxy A12,010-6176-5986,오피스텔,미사용,040122-4273269,승용차,data2_20250602185128961493_27,0e7e908e92ddfe5d9f72fd6079eb1e2f4640ecbbfc3bd72ebeda50287ab0e7e4
광주광역시 서구 쌍촌동,2005,A,905가3041,zyang@bagigim.com,5,빨강,게임,자영업,미혼,알뜰폰,김서준,물고기,iPhone 8,010-8149-7061,아파트,미사용,660715-1464728,전기차,data2_20250602185128961493_28,32c0a995b9943162e2df126580d6313a33c7dfdbc0bd491cb0c09cb7b6413e1f
경상남도 창녕군 남지읍 남지리,1999,O,73바3105,namseohyeon@janggim.com,4,분홍,자전거,교사,기혼,LG U+,박현준,새,Realme 8,010-4316-5781,빌라,사용,560306-1503993,전기차,data2_20250602185128961493_29,1688298b2a0b994aa4b1a176ca2ddb11d2c0f1f512daaabb202ae975c8a6cede
경상북도 구미시 옥성면 구봉리,1994,A,997바9526,ibag@ju.org,3,주황,독서,마케터,기혼,KT,윤지훈,강아지,Galaxy Z Flip,010-6274-2650,오피스텔,미사용,050717-4141190,자전거,data2_20250602185128961493_30,4c7294cdc3543418c6688dd3828bf800ca9a4ba3dc74f80e911b0a6b4c95d658
전라북도 전주시 완산구 전동,1985,AB,460나4105,seoyejun@gimgimgim.com,6,보라,요리,자영업,기혼,알뜰폰,윤서윤,물고기,LG G8,010-2235-7609,빌라,사용,101012-3934605,전기차,data2_20250602185128961493_31,c543cef2976ee25eb4c3a0781fe7597fc78d7d555156db25f387952781bce660
대구광역시 북구 읍내동,1984,A,141다6738,bbag@hanim.com,4,빨강,운동,마케터,미혼,SKT,허현정,햄스터,iPhone 7,010-3040-3305,오피스텔,사용,500128-2728254,트럭,data2_20250602185128961493_32,59fd9976289ca53ce1c697b7aa232a55e7e4a6eb7f2202f852b3403b8220976b
부산광역시 북구 금곡동,1984,O,707다3811,jeongsug51@jusighoesa.com,3,노랑,등산,학생,미혼,KT,박승민,없음,Oppo Reno 6,010-8451-6744,연립주택,미사용,710622-1395993,SUV,data2_20250602185128961493_33,8cc1f409cba5d2962e2bdb4e7f258bb16c96e79a6bb8bc10f6c9207e107bc646
경상북도 영천시 고경면 덕정리,1985,A,875가2436,oryu@gimyubag.com,3,회색,등산,프리랜서,기혼,알뜰폰,차현준,없음,Redmi 9,010-7069-8317,원룸,사용,950912-2569290,전기차,data2_20250602185128961493_34,c5f7360ef5422e00845c727ebeb6b90f4adb224dff52c35063afcb09b32c7649
제주특별자치도 서귀포시 도순동,2005,O,737가2098,jeonghuni@jusighoesa.net,6,파랑,쇼핑,간호사,기혼,알뜰폰,김옥자,물고기,Vivo Y72,010-9225-8637,아파트,미사용,770315-1468056,전기차,data2_20250602185128961493_35,cd950a46c785d14157b0d60a02999e04d5147212f3428eb75fa855bf555a4aba
광주광역시 광산구 연산동,1994,O,594다5483,ogim@jusighoesa.com,4,파랑,여행,회사원,이혼,KT,김현숙,햄스터,Oppo Reno 6,010-6997-3548,다가구,사용,070508-4386146,트럭,data2_20250602185128961493_36,3daa46015367916b3cbb426e550793025d5062a830f31fc011eb95e1844a2778
경상북도 의성군 안계면 토매리,1992,O,821가8285,namyeongsu@jangseogim.kr,2,주황,음악감상,디자이너,이혼,알뜰폰,고지우,파충류,Galaxy M12,010-7490-8445,원룸,사용,680207-2077609,자전거,data2_20250602185128961493_37,1ccd015ac2fac2ab48052b5e27465eee0f818a5030e8a38363bf3a01b2c5bb26
세종특별자치시 세종시 장군면 금암리,1999,A,539다7119,yeonghwan15@jangisim.com,1,검정,자전거,공무원,사별,알뜰폰,박준호,햄스터,LG G8,010-6890-4765,기숙사,미사용,520117-2809720,트럭,data2_20250602185128961493_38,aab3011be7767324322655b0321c9e357fccfccf3907b4851ec41841c2a9b82e
서울특별시 노원구 월계동,1991,O,149나2849,seonghyeongim@jangbaeg.net,4,주황,쇼핑,연구원,사별,SKT,황도윤,없음,Galaxy A52,010-7914-4452,단독주택,사용,570304-1385839,트럭,data2_20250602185128961493_39,68cec1d3d14fc1263356dab20178c5011fc1aabc31b39769cb0060a92175a7db
강원도 원주시 지정면 월송리,1998,O,160나9012,yeongil18@ibagjang.kr,5,초록,사진,프리랜서,이혼,LG U+,이정수,고양이,LG Wing,010-2436-6060,기숙사,미사용,881019-1398030,전기차,data2_20250602185128961493_40,94b9cd8c0d15c34afe685a2a885df5de8a268e7b54c61fbda259c451cd227948
울산광역시 북구 시례동,1997,AB,981가2486,junho41@yuhanhoesa.com,2,파랑,쇼핑,자영업,기혼,SKT,김미영,햄스터,Vivo X60,010-4220-6556,다가구,사용,511018-1441110,버스,data2_20250602185128961493_41,7d90eba75b0a86db2b22454ecb963c36882b1836c01c934efd9c8351f9f25b64
전라남도 영광군 법성면 화천리,1989,A,951가6652,jeongsug57@yu.com,4,흰색,요리,연구원,이혼,알뜰폰,박중수,강아지,iPhone 13,010-2625-7015,연립주택,미사용,470508-1406773,승용차,data2_20250602185128961493_42,b77eb216eb8895d4d90cb0159d632db89886e9caf186d3e69712f8be70d9d2c8
충청남도 서산시 지곡면 환성리,1993,B,168사6520,wson@yu.net,3,주황,등산,공무원,사별,LG U+,안선영,없음,Galaxy S10,010-6974-5291,다가구,미사용,470329-2487824,SUV,data2_20250602185128961493_43,711c4e3cdbdef02a8a8ffcc31ad10f9bcb79458e69c4398816f18a83b7903a91
세종특별자치시 세종시 연동면 다솜리,1984,O,61가3989,yeongsigi@yu.org,1,초록,운동,학생,기혼,LG U+,김영호,파충류,LG G8,010-4998-1462,단독주택,사용,900328-2781651,오토바이,data2_20250602185128961493_44,7790506cea2659e08deba341207750819f93016a3cdbc1ae0ebe2ecddbecb37e
강원도 횡성군 횡성읍 영영포리,1986,O,572사8250,iboram@yu.kr,2,빨강,수영,간호사,미혼,LG U+,이도윤,물고기,Sony Xperia 5 II,010-1066-2032,연립주택,미사용,510702-2841196,SUV,data2_20250602185128961493_45,78d8c24027885b47e458a54b0d1e90bb3be716471f1a6430e9d41451e056d42f
대구광역시 북구 연경동,1989,B,22사5640,byeongceol57@gimiheo.com,3,주황,영화감상,의사,미혼,알뜰폰,이도현,파충류,OnePlus 9,010-8686-6155,원룸,미사용,591015-2506223,버스,data2_20250602185128961493_46,e31c03889c6b1e5586bf1b44f706e518c1290170418fee124187dd7a2148d592
전라남도 여수시 화정면 적금리,1986,A,694마4582,myeongjagim@jusighoesa.com,2,주황,자전거,회사원,이혼,알뜰폰,장상철,없음,OnePlus 9,010-9730-5519,아파트,미사용,521207-1090255,오토바이,data2_20250602185128961493_47,1dd18ca04bf26e55cafcd7b67a61d7423cec57f0937c0319c964959a74ebd5bf
충청북도 청주시 상당구 용정동,1981,A,560사2319,ccoe@ju.kr,6,노랑,사진,개발자,사별,LG U+,차민수,햄스터,Galaxy M12,010-4940-7999,오피스텔,미사용,630827-2020139,승용차,data2_20250602185128961493_48,c9492653f68406662757dcd79e1a811b1a706511eb87de4bd81bdf84b18d60f3
울산광역시 중구 장현동,1992,AB,710가9810,jiminyang@jusighoesa.org,2,분홍,등산,프리랜서,이혼,LG U+,김정남,파충류,Sony Xperia 1 III,010-3074-6753,원룸,미사용,891219-2481448,자전거,data2_20250602185128961493_49,826c1652ee001ad326446454d7dba7d50098fb6f618e0036b75ee41affc9582a
인천광역시 서구 당하동,1994,A,865바3546,xi@naijo.com,3,보라,영화감상,디자이너,이혼,알뜰폰,김순자,강아지,Galaxy Note 20,010-7344-7306,연립주택,사용,860323-1062952,승용차,data2_20250602185128961493_50,b79d75ee88ade0ff46951b599a1297037469d3de2e6b647d403812ff3cc48e9a
전라남도 나주시 석현동,2002,A,831사6061,junyeong90@ju.org,1,보라,여행,마케터,미혼,KT,김예은,파충류,LG V60,010-7977-4603,원룸,미사용,770125-2599601,자전거,data2_20250602185128961493_51,3530fba57b9e741322106fc1fb1378aa397a45032970008dcb7caf670244fa9f
경기도 여주시 창동,1994,AB,985마2609,gwangsu54@gimseo.com,3,흰색,사진,의사,사별,KT,박지훈,파충류,Galaxy A12,010-8584-5850,원룸,미사용,100816-3142868,오토바이,data2_20250602185128961493_52,621fa08caf7622d572860d0015260b3f0b25d2eb7c60ea604d776306eacfcfd4
경기도 시흥시 목감동,2001,AB,119다4901,ominji@yu.net,3,노랑,쇼핑,간호사,미혼,LG U+,이상철,강아지,iPhone 7,010-4233-9362,기숙사,사용,980622-2774453,트럭,data2_20250602185128961493_53,623be7a75b76e2f33880452ddddeaa6b0bc441285e70fcd7dc4f48a42fa4c55a
대구광역시 수성구 수성동3가,1995,O,806가5410,tbag@jusighoesa.kr,2,보라,수영,회사원,사별,알뜰폰,김정남,물고기,Vivo X60,010-8709-3284,오피스텔,사용,830314-1875427,자전거,data2_20250602185128961493_54,e0d66cc95caf59a1189322f1e3fdabf352fee7c3a2fae99155ec676272d7dae4
대전광역시 중구 선화동,1985,A,875마3668,jbag@yu.kr,3,주황,등산,교사,미혼,SKT,이은경,파충류,Pixel 8,010-4266-6707,아파트,사용,841214-2552163,버스,data2_20250602185128961493_55,30ca2beefc911f3ebce6561f4d522b2ee272d70ffde1b89fe7a079b4bf556e07
전라남도 목포시 명륜동,1991,B,785사3955,yeongho40@gimigo.org,5,빨강,자전거,교사,사별,SKT,김하은,햄스터,iPhone XR,010-4747-2034,빌라,미사용,120818-3412796,트럭,data2_20250602185128961493_56,a7a666b274eb432e6ff65299e1cfd50b20b791c90e6cfed7d0bc0d148cf871f1
인천광역시 부평구 갈산동,1980,O,877라4923,myeongjaca@ju.kr,2,보라,운동,학생,이혼,KT,전예진,새,LG Velvet,010-5504-9902,단독주택,미사용,690207-1941852,트럭,data2_20250602185128961493_57,03c1097aa75315fbde8403b486d10002393e781f1c245b779f0b4845f3d1f2a2
세종특별자치시 세종시 다정동,1983,B,209사4441,jihyeonyun@icaju.com,2,검정,등산,교사,기혼,KT,박지민,파충류,iPhone 13,010-2529-7638,오피스텔,미사용,920823-1643942,SUV,data2_20250602185128961493_58,3479b5ce7aaca5d94f9e05aeb347dba22f86fdebad0b6d7d6f8aebea229b8bfe
서울특별시 성북구 동선동4가,1983,O,140사6045,iyeongho@gimigim.org,3,보라,수영,교사,이혼,LG U+,최서윤,햄스터,Pixel 7,010-8013-4636,연립주택,미사용,040113-3766938,전기차,data2_20250602185128961493_59,aa8e0bd49789c245b7d4902b2ab8beec14fbc2bc346add857a237456f80c56fc
대전광역시 대덕구 연축동,1997,B,960사3601,sseo@yangjoi.org,6,파랑,영화감상,학생,이혼,LG U+,김은지,없음,Galaxy A12,010-3950-8184,단독주택,사용,671217-2898808,자전거,data2_20250602185128961493_60,f5662d29b07d27d96562b930b86ce1e6d92f5314ad13cbe69433b9f4b51c3c87
충청북도 청주시 상당구 가덕면 한계리,1990,AB,452마7359,jinu24@yunsimbae.com,3,파랑,등산,프리랜서,미혼,KT,최승민,물고기,LG Velvet,010-1684-2314,기숙사,미사용,810828-2250287,자전거,data2_20250602185128961493_61,337fb537252282bc4120f2a78ea38e89f81efa8b2f3a541eedfce38c60c6910a
인천광역시 미추홀구 용현동,1998,B,867라3877,yeongja47@gocoegim.com,2,주황,자전거,의사,사별,SKT,남성현,강아지,Oppo Reno 6,010-8443-5211,연립주택,미사용,770103-1181830,승용차,data2_20250602185128961493_62,e7301e79e6cb5df2eb71c6b1f4b50d5685c79ac2130b95022f0654f89b478e81
광주광역시 광산구 덕림동,1986,AB,770다4172,ryusanghun@yuhanhoesa.com,5,검정,사진,자영업,사별,LG U+,남영식,강아지,Sony Xperia 1 III,010-1697-4746,오피스텔,미사용,730402-1404260,SUV,data2_20250602185128961493_63,ae576aba1284a7ae0c109763d247e14d6620bfef5daae0b2aaa45bef18dc032f
부산광역시 서구 토성동1가,2008,B,358마8405,seohyeon12@gimi.com,1,주황,자전거,회사원,기혼,KT,이경숙,없음,iPhone 13,010-7293-5649,원룸,미사용,090806-3403255,트럭,data2_20250602185128961493_64,96af1938af6feb794333a4b43926268921be2bfd9890cecfb83b43b13d10cdd3
세종특별자치시 세종시 전의면 달전리,1991,AB,489다6754,gimyeeun@ogimsin.kr,4,보라,영화감상,의사,이혼,KT,김중수,햄스터,Sony Xperia 5 II,010-8203-8264,단독주택,사용,840329-1911886,SUV,data2_20250602185128961493_65,b08eed2e96c83d0c1a0784e942ec5719a078a1b59f84402683a8d7ebf7ec1f31
경기도 의정부시 신곡동,1980,O,368라5867,gimyeongil@yu.net,2,빨강,자전거,공무원,이혼,알뜰폰,류서영,파충류,Motorola Edge 20,010-4641-4921,오피스텔,사용,910412-2568988,오토바이,data2_20250602185128961493_66,9acd184f7c2c3e14faaa3cf69f0bfb6148c4915fab127d282bbad4b686ff3735
경상북도 안동시 일직면 국곡리,1997,O,227다8816,isong@ju.com,5,보라,영화감상,프리랜서,기혼,LG U+,이성수,물고기,Huawei Mate 40,010-7436-8824,연립주택,미사용,680224-1307467,자전거,data2_20250602185128961493_67,ded4ab866ef22cb69961686d2145e945d5c18df171c4a67f0cab3808fa309f7a
경상남도 김해시 진영읍 의전리,1989,A,712사9906,hgim@jusighoesa.com,3,빨강,요리,연구원,기혼,알뜰폰,김민수,없음,Huawei Mate 40,010-7635-1428,원룸,미사용,770716-1346832,자전거,data2_20250602185128961493_68,8bbdaad74b410c9eb85f62f55bc35eb12e68fd6463ed63678254ffd9d536c233
광주광역시 광산구 지죽동,1994,A,883가2101,seoyunjang@noigim.net,4,분홍,요리,학생,사별,LG U+,김윤서,파충류,Huawei Mate 40,010-2030-1764,단독주택,미사용,970319-2048359,버스,data2_20250602185128961493_69,60e7985215a7dc6a33b252b0791cbbdd5786eabd43f00dc84ec14e902f114ed0
강원도 평창군 용평면 장평리,1989,B,939가9658,coehyeonjeong@yuhanhoesa.com,4,초록,음악감상,회사원,이혼,알뜰폰,고상훈,고양이,Pixel 4,010-6927-3075,오피스텔,미사용,011217-3523518,오토바이,data2_20250602185128961493_70,0268828b9adc61b819317b0df180c26c3316dd0317796d7feb5ea63bcf8cf5a3
부산광역시 금정구 장전동,2005,O,942사6784,ijeonghyi@seocoe.kr,1,보라,쇼핑,간호사,이혼,LG U+,최중수,없음,Sony Xperia 1 III,010-2697-3460,다가구,사용,920813-2272755,승용차,data2_20250602185128961493_71,b178593a6f464a2efb39a8faa5b70ce36fb334adefb76fe70fa4bc61aecf1223
세종특별자치시 세종시 연서면 고복리,1996,AB,271다6120,hayun43@gangbagjang.com,2,흰색,요리,의사,사별,알뜰폰,김지훈,없음,Xiaomi Mi 11,010-2708-5554,아파트,사용,600801-1422735,전기차,data2_20250602185128961493_72,0e176e7f4b5ec88118891ba6cf921030730a29da8f23af8fd3ef9287c1295ee6
서울특별시 마포구 창전동,1985,A,910라3282,hbag@janggimi.net,4,분홍,독서,간호사,미혼,KT,최미영,파충류,iPhone SE,010-7679-2214,오피스텔,미사용,790512-2753553,SUV,data2_20250602185128961493_73,e737f8715712b0bddb7d241beac368e76412b117986f1763b18d47c613a7f31b
서울특별시 동작구 사당동,1982,AB,55다4095,li@ju.org,2,보라,여행,연구원,이혼,알뜰폰,전수민,파충류,Huawei Mate 40,010-4195-4213,오피스텔,미사용,970603-1423982,버스,data2_20250602185128961493_74,1322574e742aeb6226de02c7d393ff37831758a122b7541c51d84e5df51f764f
경기도 양평군 지평면 월산리,2009,B,157나9499,mjang@yu.kr,1,흰색,영화감상,마케터,미혼,LG U+,안준혁,햄스터,Galaxy S10,010-3414-4200,연립주택,사용,601013-2135926,전기차,data2_20250602185128961493_75,304d556a730095776a31d2582f6ffedfd046b228ecee66e46453874f381228fd
부산광역시 수영구 망미동,1987,AB,773사6236,seojiyeon@iha.kr,5,분홍,수영,연구원,사별,알뜰폰,박시우,햄스터,iPhone X,010-4914-2278,기숙사,미사용,791225-1925282,자전거,data2_20250602185128961493_76,cb90ce063f0283c5c8543b875c89057435801db011984092b7f99d8a97b9c42d
세종특별자치시 세종시 연기면 보통리,1995,B,275라2906,vseong@ryuhong.com,5,빨강,수영,교사,기혼,알뜰폰,이준호,강아지,iPhone XS,010-1603-4632,빌라,사용,610425-1722938,버스,data2_20250602185128961493_77,102eb7779e313d95e85001b216d6ca9d8dbdde2545f029509fa50b3c42ceaf98
전라북도 장수군 장계면 명덕리,1987,A,46바4390,caeweoncoe@yuhanhoesa.com,2,분홍,독서,의사,이혼,LG U+,이수진,새,Vivo Y72,010-1843-4787,기숙사,사용,460313-1129541,버스,data2_20250602185128961493_78,196e33bb71cb151e196e5f0eb0876ed170d8a332262ac8f1bae7702b21b2eed6
서울특별시 관악구 봉천동,1989,A,138사7105,ogja56@ju.kr,4,초록,자전거,연구원,기혼,SKT,김준호,고양이,Vivo X60,010-3073-9769,다가구,사용,550419-2210910,오토바이,data2_20250602185128961493_79,ed2b66484ed22e8dfc31b3472bef474479bef9ccd01272db4e04a934cc8e715a
대구광역시 남구 봉덕동,1987,B,530나4109,songyejin@ju.com,6,검정,등산,마케터,사별,LG U+,김영미,강아지,Galaxy S22,010-5931-5185,빌라,사용,870321-2593440,전기차,data2_20250602185128961493_80,67adec85f4e5de17c1bad858c156fac735384aca16ba2a8f2cba09d81d8026d7
강원도 양양군 현남면 동산리,1999,AB,657라2829,abag@songyungim.net,5,초록,사진,프리랜서,이혼,SKT,김영진,새,Galaxy S21,010-3812-6125,다가구,미사용,140317-3756038,트럭,data2_20250602185128961493_81,d3cf64739e8caae4901296cb1b69435a58d5a2d3d7a5a26c39282c6b04d943c1
서울특별시 서대문구 연희동,2002,O,818라7533,ogja05@bagi.com,1,초록,독서,간호사,미혼,SKT,김민재,햄스터,Xiaomi Poco F3,010-7359-8061,기숙사,미사용,690524-2688463,자전거,data2_20250602185128961493_82,f03b0f0d7e4419839d38fae4f4db2322e25039d6ddff9fce9fdfeabd6bf89a31
부산광역시 연제구 거제동,1991,O,314라1027,coeseongmin@anigim.kr,4,초록,요리,간호사,사별,LG U+,김시우,고양이,iPhone 14,010-3261-9873,빌라,사용,021204-3171472,승용차,data2_20250602185128961493_83,f68c04b0e03efc7108a52284d1b38665357cbc5dd9363398807f1a50eb1ae44d
부산광역시 금정구 장전동,1991,A,304마1466,xha@ju.com,4,초록,등산,연구원,이혼,LG U+,조영희,없음,LG Q92,010-4949-1952,다가구,사용,660911-1459403,승용차,data2_20250602185128961493_84,5ba83a4ccf1d10270acebd6433d9fbd475e779dd0bffef0bc027f00a991baef9
경상남도 사천시 곤양면 환덕리,1998,B,667마9348,hyeonui@igweoncoe.com,2,보라,운동,마케터,이혼,LG U+,이민재,강아지,Galaxy S21,010-8701-5108,단독주택,사용,680816-1827453,승용차,data2_20250602185128961493_85,a5b37094ce588daa9fa2cdcab311db17cc5b2d8c69d7b6fab4ccf048e82ad56f
경기도 오산시 내삼미동,1999,AB,594마5912,hyejinhong@obaeg.com,1,노랑,수영,마케터,미혼,LG U+,윤성민,물고기,LG G8,010-7367-2118,빌라,미사용,741112-2390557,SUV,data2_20250602185128961493_86,2d6ce11f8da8aa661b308748499012bdf453c0edb642246027155c13a992a638
