name,ssn,phone_number,email,income,address,monthly_spending
장**,64092*********,010-*********,jongsu**************,9749975,경기도 용인*************,2502182
박**,80080*********,010-*********,kgwe*********,24649083,대구광역시 ***********,4580544
임**,13092*********,010-*********,jangjim**************,46703860,충청북도 ***********,23164907
류**,62091*********,010-*********,gimsun**************,76414774,전라남도 ***********,9773110
배**,68040*********,010-*********,ihyeon***********,95879283,제주특별자치**************,10474286
백**,93070*********,010-*********,gyeongs**************,22694692,경기도 ********,1448802
장**,00012*********,010-*********,jongsu*************,54616910,대전광역*********,6890078
성**,78032*********,010-*********,ao@*****,15177763,세종특별자치*************,8023443
김**,14071*********,010-*********,vyun*******,9209940,세종특별자치*************,641499
구**,72073*********,010-*********,areum47@****************,11985539,부산광역*********,4884192
조**,09100*********,010-*********,seongm***********,88824024,제주특별자치*************,36455815
권**,53051*********,010-*********,eunju5**************,63345958,경상남도 ***********,535713
이**,56031*********,010-*********,si@*****,40143244,인천광역시*********,2766970
박**,92100*********,010-*********,gimmye************,80608945,충청북도 청**************,12737634
이**,06081*********,010-*********,imisu*********,83300383,충청남도 천**************,7831553
이**,72072*********,010-*********,doyung**************,73086856,강원도*******,3776939
송**,79102*********,010-*********,gimmi***********,46264324,세종특별자치*************,22288650
이**,92070*********,010-*********,songj**********,4621904,대구광역시 ***********,758640
나**,98010*********,010-*********,junhoi***********,11825167,인천광역*********,665350
조**,06103*********,010-*********,ogim@g*************,26367571,인천광역시*********,164866
이**,83072*********,010-*********,jihuh*********,43923629,대구광역*********,24790276
권**,46090*********,010-*********,yunseungh******************,89745150,울산광역시 ***********,17713092
김**,06032*********,010-*********,ijeongs****************,2111500,부산광역시*********,363019
김**,47120*********,010-*********,junhyeog*****************,55287874,광주광역********,6817841
문**,90071*********,010-*********,myeongs***************,31489935,강원도 *******,10385403
김**,14111*********,010-*********,bbag@***********,89986610,충청북도 ***********,18639511
이**,75123*********,010-*********,namju***********,26528847,전라북도 ***********,4500549
김**,97012*********,010-*********,seungmi***************,43372432,충청남도 ***********,24866577
한**,97051*********,010-*********,seoyuni***************,84206279,인천광역*********,10454110
최**,60022*********,010-*********,bheo@g***********,14319717,인천광역시 ***********,549171
김**,78083*********,010-*********,gangsumi******************,21389885,제주특별자***********,2223113
김**,65121*********,010-*********,haeun*********,33959570,대구광역********,13915341
이**,65091*********,010-*********,jeong***********,63632180,강원도 양***********,13069008
김**,81020*********,010-*********,jeongn**************,28621166,대전광역*********,219632
박**,77070*********,010-*********,jinho2**************,99639206,제주특별자***********,48809359
최**,05061*********,010-*********,ogjag*********,77152271,대구광역시*********,3835521
이**,86012*********,010-*********,minsug*************,62931334,경기도 양**********,17313764
강**,75042*********,010-*********,sanghyeo****************,71868087,충청남도 ***********,41192047
윤**,75050*********,010-*********,ihaeun************,80564719,세종특별자치*************,9158875
김**,10101*********,010-*********,seunghyeo******************,59241764,전라남도 ***********,7795950
김**,12052*********,010-*********,sanghung******************,82233305,충청북도 ***********,55194003
이**,64030*********,010-*********,yo@*******,16460550,전라남도 ***********,2235222
윤**,76080*********,010-*********,ominjun**************,74174221,부산광역*********,6062514
박**,95032*********,010-*********,jeongnam******************,23573737,대구광역시***********,2667562
서**,74081*********,010-*********,minsus**************,93557644,서울특별*********,18835633
최**,89021*********,010-*********,qgi*******,47720387,강원도 춘*********,7518766
최**,67072*********,010-*********,jeonghyih*******************,26449475,전라북도 ***********,4098204
진**,54080*********,010-*********,mgim@*********,9244627,제주특별자치**************,5567352
박**,67042*********,010-*********,qi@jus***********,70596073,울산광역********,4178656
최**,49031*********,010-*********,ijeongh****************,19709107,경상북도********,9016994
이**,02082*********,010-*********,jia35@**************,94465590,충청남도 ***********,8599218
서**,13080*********,010-*********,jeong***********,15170330,대구광역시***********,4731855
구**,64072*********,010-*********,pcoe@j*************,77167609,울산광역********,9833251
서**,73060*********,010-*********,jiu2*******,35247632,광주광역********,1074086
박**,48090*********,010-*********,ogjai@***********,9492785,전라남도 ***********,2164460
김**,70021*********,010-*********,gimhyeo**************,77532791,대구광역********,35920772
최**,70032*********,010-*********,yejimun@****************,17564028,경상남도 ***********,1409116
허**,03061*********,010-*********,yunseo**************,12835038,광주광역********,2035694
김**,52111*********,010-*********,eo@jan***********,9348304,강원도 인*********,910414
이**,86061*********,010-*********,jeongho**************,36597172,대전광역*********,7031607
김**,86070*********,010-*********,pgwag*********,3988885,대전광역********,865272
김**,11041*********,010-*********,igim@j************,85041772,울산광역********,53562333
김**,75092*********,010-*********,xi@j*********,86182474,전라남도 ***********,4079136
권**,66122*********,010-*********,junhye**************,42873822,세종특별자치*************,2927041
김**,55071*********,010-*********,sonyeo*************,77458990,부산광역시**********,7792900
유**,54082*********,010-*********,yeongm**************,95050495,대구광역********,38254845
박**,00061*********,010-*********,misuggi****************,83910296,충청북도 ***********,3073864
박**,85082*********,010-*********,minjuno**************,92891548,경상남도 ***********,25264572
김**,10021*********,010-*********,myeongja*****************,32940403,대전광역********,8434517
이**,52062*********,010-*********,hyeons*************,47216109,경상북도 ***********,7578348
남**,82011*********,010-*********,hyeonj**************,81320424,부산광역*********,4517095
김**,45112*********,010-*********,coesiu@**************,30496296,경상남도 ***********,1494094
김**,50050*********,010-*********,yeonghyi*****************,67299318,울산광역*******,9356301
서**,72081*********,010-*********,myeongsug******************,94046137,전라북도 ***********,12344004
김**,80060*********,010-*********,hyeonu1****************,19908073,인천광역*********,4110015
김**,98040*********,010-*********,sujinb***********,91085892,대구광역********,8392060
한**,86052*********,010-*********,yeongj************,53842708,전라남도 **********,10510043
박**,75041*********,010-*********,simogsu****************,36685970,강원도 양*********,420155
김**,66082*********,010-*********,gangseun*****************,98329019,경기도 수*********,1836295
홍**,81061*********,010-*********,gimseony******************,51635124,경상남도 ***********,13274964
이**,88091*********,010-*********,seoyun*************,19855521,제주특별자***********,1887124
한**,92082*********,010-*********,sunja4**************,43565756,대전광역********,6351497
김**,74010*********,010-*********,baghye***********,64765771,경상북도 **********,24739636
홍**,46010*********,010-*********,byeongce******************,9343277,울산광역시 ***********,1771214
손**,65022*********,010-*********,misug2************,28012741,인천광역********,6693747
김**,79031*********,010-*********,seoye***********,75385787,울산광역********,489835
윤**,46080*********,010-*********,sunog*********,31980899,부산광역*********,9387526
최**,93081*********,010-*********,jihun*********,45213693,전라남도 ***********,3740285
손**,88060*********,010-*********,byeongce******************,68485681,전라남도 ***********,40237993
김**,55062*********,010-*********,coemije**************,26908252,경상북도 ***********,1499717
김**,72051*********,010-*********,hayun*********,31461301,부산광역*********,1466885
남**,80071*********,010-*********,gimjaeh****************,8337910,경상남도 ***********,4128702
차**,90122*********,010-*********,misug4************,90593142,울산광역시 ***********,28420878
장**,51022*********,010-*********,minji1***********,6723674,세종특별자치*************,263991
박**,58071*********,010-*********,junseoba****************,31391544,인천광역********,11200361
김**,91083*********,010-*********,fi@yuh***********,80475512,세종특별자치*************,13297789
이**,87021*********,010-*********,miyeong**************,33323758,서울특별*********,102959
김**,80032*********,010-*********,mi@yu***********,29434493,충청북도 청**************,2240271
손**,68033*********,010-*********,ebag*******,55033643,울산광역********,24201408
김**,92120*********,010-*********,simj********,28522203,충청남도 ***********,11231440
박**,73021*********,010-*********,gimjeong****************,44126292,경기도 이**********,2055599
한**,14020*********,010-*********,hayungim****************,57971270,부산광역*********,8860981
윤**,80070*********,010-*********,gimjong**************,72527837,부산광역*********,19473455
고**,74092*********,010-*********,anhaeun****************,37337771,인천광역시*********,12833071
백**,80032*********,010-*********,sumin05***************,10000488,경상남도 ***********,1427576
김**,93050*********,010-*********,egim@y*************,80664022,광주광역********,490595
이**,75110*********,010-*********,iseoyeo**************,63428186,광주광역********,2313583
김**,49031*********,010-*********,ngwag***********,47304167,전라남도 ***********,734586
노**,60121*********,010-*********,yeongsu**************,44598245,강원도 원**********,9667582
곽**,84122*********,010-*********,anhyeonj****************,92021159,광주광역********,14049714
최**,49041*********,010-*********,songye*************,9978927,울산광역********,1331559
최**,76112*********,010-*********,jiweon**************,12348817,경상북도 청***********,948711
권**,49072*********,010-*********,vi@i*********,65967294,세종특별자**********,20472117
박**,50041*********,010-*********,ibag@*********,81701411,인천광역시***********,40124848
이**,85112*********,010-*********,bagyeong****************,42493272,경상북도 ***********,7074726
이**,91070*********,010-*********,hwanggye****************,72031090,전라북도 ***********,7091880
강**,70040*********,010-*********,gyeongs***************,30484915,서울특별*********,7073820
박**,98091*********,010-*********,wgim@**********,10497922,울산광역*******,2701401
김**,12083*********,010-*********,zcoe@***********,36098054,제주특별자***********,5700634
박**,80071*********,010-*********,ggim*******,47458776,충청북도 ***********,15730975
윤**,14032*********,010-*********,yeweon7****************,72518285,경상남도 **********,4645149
이**,11020*********,010-*********,junyeong*****************,27124716,전라북도 ***********,2552424
김**,01092*********,010-*********,useon***********,38260040,제주특별자***********,17903029
나**,02112*********,010-*********,gangcun***************,44106299,대전광역********,1993487
이**,66111*********,010-*********,minse***********,24637093,대전광역********,14313224
김**,78031*********,010-*********,gimyu**********,62079834,세종특별자치*************,46103960
노**,85122*********,010-*********,haeunry**************,3090106,제주특별자치*************,110550
양**,59040*********,010-*********,gbag*******,63639550,제주특별자치**************,247658
황**,76041*********,010-*********,baegseon******************,71385898,경상북도 ***********,14876143
박**,80040*********,010-*********,sunja08**************,65917232,인천광역시*********,4832677
김**,68011*********,010-*********,sanghye**************,44105432,전라남도 **********,8613632
이**,66010*********,010-*********,djo@********,15761022,대구광역********,3214974
전**,93100*********,010-*********,caeweo*************,84288564,충청북도********,18502321
최**,86080*********,010-*********,ni@******,72941382,경상남도 창원***************,2513044
이**,95090*********,010-*********,gimseo**************,20868452,광주광역********,4702019
양**,70021*********,010-*********,seoyeonj******************,14344682,전라남도 **********,207275
이**,72060*********,010-*********,ri@b*********,55115714,강원도 평**********,5819257
차**,11100*********,010-*********,anareu*************,92247757,제주특별자치*************,18162836
김**,82070*********,010-*********,jihyeon****************,49482440,광주광역*********,2132812
조**,54042*********,010-*********,jeongsug****************,49389928,대구광역*********,2662223
권**,02080*********,010-*********,tjo******,7975160,대구광역********,702638
이**,68022*********,010-*********,osangc*************,29404101,경상남도 ***********,2672258
윤**,96011*********,010-*********,ci@i*********,12838634,대구광역********,1091055
손**,51022*********,010-*********,wgim********,21832618,서울특별*********,5622950
고**,59080*********,010-*********,eunjiha***************,86924078,서울특별시**********,5934202
김**,60071*********,010-*********,jeongh***********,88224189,강원도 *******,11477556
김**,09062*********,010-*********,sangceo**************,92642897,광주광역********,10777510
이**,08071*********,010-*********,yunseo*************,18258447,충청북도 ***********,5111373
김**,06051*********,010-*********,gimdohy**************,76059799,경상북도 **********,13804360
안**,01031*********,010-*********,zseo@y*************,21216012,대구광역*********,4173472
박**,66082*********,010-*********,junseo**************,2762713,대구광역********,593197
박**,09042*********,010-*********,junhye**************,6844992,전라남도********,1236617
김**,72091*********,010-*********,jeongs************,46208950,인천광역*********,728821
박**,84112*********,010-*********,gimogj***********,24119049,전라북도 ***********,315627
강**,51041*********,010-*********,yeeuni@**************,29266123,부산광역*********,813497
하**,49053*********,010-*********,ijeong************,87156964,경상남도********,49900620
강**,49103*********,010-*********,isang**********,60897850,강원도 홍*********,20392923
박**,87040*********,010-*********,rgim@j*************,89101699,제주특별자***********,27130804
이**,92061*********,010-*********,iseoyeo****************,43301975,인천광역********,23773515
김**,45021*********,010-*********,uhon*********,93499898,전라남도 ***********,3915116
김**,47032*********,010-*********,junseo5****************,5600630,제주특별자치**************,445613
이**,00082*********,010-*********,ogjaso*************,86352247,충청남도 ***********,9462865
박**,78033*********,010-*********,eungyeon******************,73282177,경상남도 창원***************,16322384
배**,06070*********,010-*********,ci@******,86424276,경상북도 포*************,2815466
손**,62121*********,010-*********,myeongsug******************,63574567,강원도 평**********,20450577
양**,89100*********,010-*********,isanghy**************,67596125,전라남도 ***********,2488180
이**,55010*********,010-*********,li@yuh***********,58951802,전라북도 ***********,1763863
나**,76092*********,010-*********,seungmin*****************,99211964,광주광역********,23154788
하**,09120*********,010-*********,sumin*********,62647656,부산광역시**********,19295677
엄**,99100*********,010-*********,bagjun************,70762034,울산광역시***********,17762522
이**,70122*********,010-*********,gimsu***********,7446062,대전광역*******,668405
노**,94112*********,010-*********,eungye************,9556615,대전광역********,1110247
이**,52112*********,010-*********,sonhyeo**************,21554603,충청북도 ***********,525958
강**,08100*********,010-*********,sonjihu****************,93696583,서울특별시*********,9801255
엄**,68052*********,010-*********,ogja19***********,8557839,광주광역*********,1375232
하**,63061*********,010-*********,gimjaehy******************,54113075,세종특별자치*************,17937169
이**,89030*********,010-*********,jinu90*************,91763791,대전광역*********,15975132
이**,56071*********,010-*********,yeonghw****************,91775662,경기도 여**********,23126757
이**,72032*********,010-*********,bi@gi**********,8583316,광주광역********,4047184
김**,59080*********,010-*********,yeongh***********,39777124,강원도 *******,7226108
강**,06083*********,010-*********,jeongsu****************,61326499,세종특별자치*************,23502182
안**,02011*********,010-*********,josan**********,5715235,전라북도 ***********,3402082
김**,60100*********,010-*********,jungsu*************,88353954,울산광역********,38986998
이**,72012*********,010-*********,coeseo***********,77032101,부산광역시*********,11421684
박**,92092*********,010-*********,kcoe@*********,26272618,대구광역시***********,1662758
김**,04112*********,010-*********,bgang@************,41489223,대구광역********,2496063
이**,75082*********,010-*********,hayungi****************,70568539,광주광역*********,42064925
이**,94082*********,010-*********,lgim@*********,51081646,경상남도 ***********,10921483
이**,62010*********,010-*********,bagseon***************,44835448,경기도 수**********,28674133
강**,72010*********,010-*********,jiugim@**************,17655474,광주광역********,486248
민**,86080*********,010-*********,pi@b*********,96192116,충청북도 ***********,15496020
이**,79062*********,010-*********,areu*********,11511494,세종특별자치*************,2225503
김**,79062*********,010-*********,hyejin4****************,26259440,전라북도 ***********,4316438
김**,90092*********,010-*********,jgweon**************,86766002,전라남도 ***********,3654547
김**,63110*********,010-*********,sanghung****************,17971243,경상남도 ***********,1208629
양**,71082*********,010-*********,miyeon*************,17747327,경기도 용**********,814165
이**,04030*********,010-*********,bagseon***************,95801459,경상남도 ***********,12321312
이**,53080*********,010-*********,haeun*********,14210667,세종특별자치*************,421741
오**,58042*********,010-*********,jihun03***************,32341060,강원도 횡**********,3484434
김**,70081*********,010-*********,jeongho****************,48852307,제주특별자**********,6917728
이**,82020*********,010-*********,seoyeon***************,80299990,경상북도 ***********,9066217
박**,82021*********,010-*********,sanghu*************,89618137,경상북도 ***********,12830381
이**,13051*********,010-*********,gimyeo**************,60341127,대전광역********,8278768
전**,12032*********,010-*********,yunseos****************,41856241,강원도 *******,5753914
김**,76032*********,010-*********,agim@**********,57597727,전라남도 ***********,7485141
성**,13061*********,010-*********,sunog***********,53025514,경기도 *******,9741385
양**,90021*********,010-*********,gyeongsu*****************,57432468,부산광역********,9682682
고**,12050*********,010-*********,minhyeo***************,12140940,광주광역*********,1481870
민**,06071*********,010-*********,seoyeon***************,43270978,제주특별자치*************,281223
권**,59061*********,010-*********,eunji*********,74253196,인천광역********,29330699
권**,60090*********,010-*********,jcoe@j*************,31708082,인천광역시 ***********,9884438
이**,01020*********,010-*********,gimmyeo***************,91117690,경상남도 ***********,28014699
최**,47091*********,010-*********,misugi***********,32750337,대구광역********,3937885
강**,04112*********,010-*********,jihyehw**************,4185577,부산광역*********,1639900
이**,80072*********,010-*********,gimmiyeo*****************,44405584,울산광역*******,10300181
홍**,65081*********,010-*********,ijeongs***************,57968047,제주특별자치*************,19083192
황**,77110*********,010-*********,gyeong***********,56116721,제주특별자치*************,11005790
이**,93012*********,010-*********,sujinco****************,78787392,전라남도********,4749744
이**,80040*********,010-*********,gimeuny**************,56039092,부산광역********,14387731
최**,80091*********,010-*********,ogang***********,69185907,강원도 춘**********,19705727
이**,08072*********,010-*********,rjo@********,42271376,울산광역시 ***********,14478379
김**,61060*********,010-*********,seongm*************,98811422,강원도 횡**********,15925862
최**,78071*********,010-*********,migyeong*****************,10322874,전라남도 ***********,3827424
김**,99012*********,010-*********,jinu*********,42102637,광주광역********,4740075
박**,86071*********,010-*********,hyeons***********,33095309,경기도 평**********,9584731
전**,01032*********,010-*********,ssin@*********,54982947,광주광역********,12363376
나**,64070*********,010-*********,di@b*********,9243774,경기도 *******,1728865
이**,72050*********,010-*********,sugjai@***************,23501853,경상남도 **********,9285197
이**,06052*********,010-*********,sgim@***********,45955465,부산광역*********,16214656
박**,03011*********,010-*********,sjo*******,78628981,세종특별자치*************,19739079
이**,52112*********,010-*********,cunja61**************,80318294,제주특별자치**************,8391152
황**,56072*********,010-*********,mijeon**************,54249898,제주특별자치*************,7081274
이**,44093*********,010-*********,shwang************,59408520,강원도 정**********,8200488
김**,98031*********,010-*********,gimjiu@**************,75678856,서울특별*********,14456785
진**,50110*********,010-*********,seongsu***************,18816015,서울특별*********,2051082
박**,44100*********,010-*********,ygim@g************,35519002,제주특별자**********,6951253
이**,55050*********,010-*********,yo@*****,94257552,서울특별*********,11289375
김**,60111*********,010-*********,yeweon1****************,40658609,경기도 수**********,14087791
류**,13102*********,010-*********,gyeongja******************,86123025,경상북도 ***********,39369323
이**,77112*********,010-*********,eunjuj************,8944561,광주광역********,5133926
박**,53020*********,010-*********,igo@********,77312138,광주광역********,24117384
김**,90070*********,010-*********,sunj*********,58450862,경상북도 ***********,7343341
권**,87070*********,010-*********,pgim@g*************,60061999,경상북도 ***********,8519542
김**,06011*********,010-*********,mijeon***********,35374461,경기도 수*********,4253812
이**,67061*********,010-*********,minjae************,57647086,광주광역********,25625201
박**,93081*********,010-*********,yeeun18**************,34479012,부산광역*********,2989761
박**,44111*********,010-*********,jeongu************,60017775,대전광역*********,1456064
김**,72083*********,010-*********,gimse***********,28648405,울산광역시 ***********,20652073
김**,61051*********,010-*********,caeweo***********,75400450,대전광역********,27093102
김**,88061*********,010-*********,iseojun***************,37542791,경상북도 ***********,7970248
김**,13041*********,010-*********,gi@*****,13230779,제주특별자***********,2098944
이**,81110*********,010-*********,jeongu**************,18170788,부산광역********,6626259
이**,76100*********,010-*********,gjang**********,18353226,경상북도 ***********,396477
김**,90062*********,010-*********,misug4************,69042511,광주광역********,10632869
장**,03011*********,010-*********,cunja**********,70135963,제주특별자치**************,31213880
