address,email,income,monthly_spending,name,phone_number,ssn
서울특별시 동대문구 장안동,jyu@yuhanhoesa.com,30573981,10953183,강지민,010-1544-4803,600313-1798934
충청북도 청주시 흥덕구 오송읍 상정리,hyeonjun31@ju.kr,80662503,23659946,송서윤,010-3813-3156,940320-2119589
광주광역시 광산구 동호동,gimyeweon@yuni.kr,87038301,14435348,김민석,010-5137-6935,840628-2240391
경기도 하남시 배알미동,obag@yuhanhoesa.org,30191872,13766998,이옥순,010-4328-6526,880229-1773639
전라북도 완주군 화산면 운제리,lo@yuhanhoesa.kr,96486987,14396990,한순옥,010-9127-2767,050714-3611833
전라남도 진도군 지산면 보전리,hyejini@yuhanhoesa.com,37086066,6137990,주은정,010-9895-2696,610622-1328389
대구광역시 동구 미대동,bagyeongjin@jusighoesa.kr,26854164,3533394,최영철,010-7994-4693,650106-1724623
울산광역시 동구 화정동,minji41@ju.net,42683163,134354,김지원,010-4029-7469,530112-2283134
전라북도 익산시 여산면 태성리,yuseongsu@mingim.com,15060649,2753012,김지현,010-5187-2329,970202-1663391
세종특별자치시 세종시 한솔동,pi@heoseo.com,14391104,5492207,전영일,010-6176-5986,040122-4273269
광주광역시 서구 쌍촌동,zyang@bagigim.com,44654774,659578,김서준,010-8149-7061,660715-1464728
경상남도 창녕군 남지읍 남지리,namseohyeon@janggim.com,72558357,1113557,박현준,010-4316-5781,560306-1503993
경상북도 구미시 옥성면 구봉리,ibag@ju.org,93485962,36552151,윤지훈,010-6274-2650,050717-4141190
전라북도 전주시 완산구 전동,seoyejun@gimgimgim.com,33110225,1968670,윤서윤,010-2235-7609,101012-3934605
대구광역시 북구 읍내동,bbag@hanim.com,61964028,9925592,허현정,010-3040-3305,500128-2728254
부산광역시 북구 금곡동,jeongsug51@jusighoesa.com,5570131,1268264,박승민,010-8451-6744,710622-1395993
경상북도 영천시 고경면 덕정리,oryu@gimyubag.com,25790879,6944229,차현준,010-7069-8317,950912-2569290
제주특별자치도 서귀포시 도순동,jeonghuni@jusighoesa.net,51214643,2738000,김옥자,010-9225-8637,770315-1468056
광주광역시 광산구 연산동,ogim@jusighoesa.com,42422683,9616847,김현숙,010-6997-3548,070508-4386146
경상북도 의성군 안계면 토매리,namyeongsu@jangseogim.kr,30145747,9508869,고지우,010-7490-8445,680207-2077609
세종특별자치시 세종시 장군면 금암리,yeonghwan15@jangisim.com,29202765,1653126,박준호,010-6890-4765,520117-2809720
서울특별시 노원구 월계동,seonghyeongim@jangbaeg.net,41489281,14390147,황도윤,010-7914-4452,570304-1385839
강원도 원주시 지정면 월송리,yeongil18@ibagjang.kr,82475936,8471649,이정수,010-2436-6060,881019-1398030
울산광역시 북구 시례동,junho41@yuhanhoesa.com,19502207,8336269,김미영,010-4220-6556,511018-1441110
전라남도 영광군 법성면 화천리,jeongsug57@yu.com,57243899,2594736,박중수,010-2625-7015,470508-1406773
충청남도 서산시 지곡면 환성리,wson@yu.net,52497197,8211121,안선영,010-6974-5291,470329-2487824
세종특별자치시 세종시 연동면 다솜리,yeongsigi@yu.org,26868317,3843958,김영호,010-4998-1462,900328-2781651
강원도 횡성군 횡성읍 영영포리,iboram@yu.kr,65693398,11379181,이도윤,010-1066-2032,510702-2841196
대구광역시 북구 연경동,byeongceol57@gimiheo.com,32112500,12225320,이도현,010-8686-6155,591015-2506223
전라남도 여수시 화정면 적금리,myeongjagim@jusighoesa.com,44652635,5217413,장상철,010-9730-5519,521207-1090255
충청북도 청주시 상당구 용정동,ccoe@ju.kr,54684567,11318956,차민수,010-4940-7999,630827-2020139
울산광역시 중구 장현동,jiminyang@jusighoesa.org,46744839,11545963,김정남,010-3074-6753,891219-2481448
인천광역시 서구 당하동,xi@naijo.com,59137374,12014896,김순자,010-7344-7306,860323-1062952
전라남도 나주시 석현동,junyeong90@ju.org,26246300,5239720,김예은,010-7977-4603,770125-2599601
경기도 여주시 창동,gwangsu54@gimseo.com,74290518,29911971,박지훈,010-8584-5850,100816-3142868
경기도 시흥시 목감동,ominji@yu.net,11355750,1376703,이상철,010-4233-9362,980622-2774453
대구광역시 수성구 수성동3가,tbag@jusighoesa.kr,92278691,15192914,김정남,010-8709-3284,830314-1875427
대전광역시 중구 선화동,jbag@yu.kr,8906013,4766910,이은경,010-4266-6707,841214-2552163
전라남도 목포시 명륜동,yeongho40@gimigo.org,54725851,11328229,김하은,010-4747-2034,120818-3412796
인천광역시 부평구 갈산동,myeongjaca@ju.kr,83057050,21783194,전예진,010-5504-9902,690207-1941852
세종특별자치시 세종시 다정동,jihyeonyun@icaju.com,89882745,6484886,박지민,010-2529-7638,920823-1643942
서울특별시 성북구 동선동4가,iyeongho@gimigim.org,45344797,28376932,최서윤,010-8013-4636,040113-3766938
대전광역시 대덕구 연축동,sseo@yangjoi.org,27435452,19671395,김은지,010-3950-8184,671217-2898808
충청북도 청주시 상당구 가덕면 한계리,jinu24@yunsimbae.com,53778740,9836422,최승민,010-1684-2314,810828-2250287
인천광역시 미추홀구 용현동,yeongja47@gocoegim.com,39945022,643025,남성현,010-8443-5211,770103-1181830
광주광역시 광산구 덕림동,ryusanghun@yuhanhoesa.com,86462636,15534939,남영식,010-1697-4746,730402-1404260
부산광역시 서구 토성동1가,seohyeon12@gimi.com,97167146,14865853,이경숙,010-7293-5649,090806-3403255
세종특별자치시 세종시 전의면 달전리,gimyeeun@ogimsin.kr,74334888,18911291,김중수,010-8203-8264,840329-1911886
경기도 의정부시 신곡동,gimyeongil@yu.net,90263629,8258068,류서영,010-4641-4921,910412-2568988
경상북도 안동시 일직면 국곡리,isong@ju.com,27565296,7989767,이성수,010-7436-8824,680224-1307467
경상남도 김해시 진영읍 의전리,hgim@jusighoesa.com,85322835,36937894,김민수,010-7635-1428,770716-1346832
광주광역시 광산구 지죽동,seoyunjang@noigim.net,25265133,3330444,김윤서,010-2030-1764,970319-2048359
강원도 평창군 용평면 장평리,coehyeonjeong@yuhanhoesa.com,4639510,531833,고상훈,010-6927-3075,011217-3523518
부산광역시 금정구 장전동,ijeonghyi@seocoe.kr,15659614,3413487,최중수,010-2697-3460,920813-2272755
세종특별자치시 세종시 연서면 고복리,hayun43@gangbagjang.com,29083714,7971613,김지훈,010-2708-5554,600801-1422735
서울특별시 마포구 창전동,hbag@janggimi.net,88386757,41933398,최미영,010-7679-2214,790512-2753553
서울특별시 동작구 사당동,li@ju.org,59263563,12598076,전수민,010-4195-4213,970603-1423982
경기도 양평군 지평면 월산리,mjang@yu.kr,13837287,1024640,안준혁,010-3414-4200,601013-2135926
부산광역시 수영구 망미동,seojiyeon@iha.kr,56474265,28948888,박시우,010-4914-2278,791225-1925282
세종특별자치시 세종시 연기면 보통리,vseong@ryuhong.com,78048230,197329,이준호,010-1603-4632,610425-1722938
전라북도 장수군 장계면 명덕리,caeweoncoe@yuhanhoesa.com,68159257,36058669,이수진,010-1843-4787,460313-1129541
서울특별시 관악구 봉천동,ogja56@ju.kr,71933308,18167300,김준호,010-3073-9769,550419-2210910
대구광역시 남구 봉덕동,songyejin@ju.com,3747406,165032,김영미,010-5931-5185,870321-2593440
강원도 양양군 현남면 동산리,abag@songyungim.net,80217508,5357403,김영진,010-3812-6125,140317-3756038
서울특별시 서대문구 연희동,ogja05@bagi.com,13545783,3231119,김민재,010-7359-8061,690524-2688463
부산광역시 연제구 거제동,coeseongmin@anigim.kr,54790284,13203810,김시우,010-3261-9873,021204-3171472
부산광역시 금정구 장전동,xha@ju.com,36755459,8350715,조영희,010-4949-1952,660911-1459403
경상남도 사천시 곤양면 환덕리,hyeonui@igweoncoe.com,24217312,5948673,이민재,010-8701-5108,680816-1827453
경기도 오산시 내삼미동,hyejinhong@obaeg.com,45046970,15325164,윤성민,010-7367-2118,741112-2390557
광주광역시 서구 쌍촌동,bagjunyeong@jusighoesa.com,11798463,1739466,김예원,010-6740-8775,441013-2203082
전라남도 곡성군 입면 대장리,vbag@yuhanhoesa.com,52114852,6738258,배현우,010-4646-9056,140210-4362425
부산광역시 사상구 괘법동,hayun19@baeggim.com,48727796,5321481,이지민,010-5196-5950,590124-2244431
경상남도 사천시 사등동,gimjeongsun@ju.com,34496000,19864664,김영수,010-5782-8595,851103-1736092
광주광역시 광산구 산막동,jeongnam04@ju.org,20699215,693322,최민서,010-7339-4113,070420-4323908
강원도 영월군 영월읍 흥월리,sseo@jusighoesa.kr,8640717,774599,강수빈,010-3667-5979,740731-1326178
광주광역시 남구 구동,misug97@bagyun.kr,14135230,2830295,김미숙,010-3871-3077,770412-1862874
대구광역시 동구 백안동,sunja78@uyu.kr,97926951,26701759,김준서,010-5995-6290,830614-2804553
대구광역시 남구 대명동,junhyeog05@yuhanhoesa.kr,76713639,7815931,최은주,010-1438-6926,840409-2618992
서울특별시 광진구 화양동,gyeongjai@gimbagseo.com,16781056,4029442,이미경,010-1070-3138,821020-2802497
울산광역시 남구 상개동,jinu30@ju.kr,14785583,1649705,이순옥,010-8417-2638,960325-2313178
광주광역시 서구 세하동,san@yu.com,35854552,1588981,송경자,010-4244-9574,471118-2694227
세종특별자치시 세종시 전동면 석곡리,bagjihye@yu.kr,12985939,1274879,강정순,010-7527-1124,040805-4301029
인천광역시 옹진군 북도면 모도리,jeongnami@yuhanhoesa.org,84838544,46379273,김도현,010-4476-8443,920303-2042232
세종특별자치시 세종시 금남면 대박리,yeongsuggim@baegjo.com,66221723,7724144,최현우,010-7503-1563,521206-1332718
충청남도 서산시 인지면 애정리,khong@gimnam.com,76193209,38071575,이유진,010-2557-4091,900719-2228863
광주광역시 서구 광천동,gimseongmin@coebag.com,55684510,4931294,이종수,010-2001-2008,920118-1694523
대구광역시 수성구 연호동,seohyeon69@igweon.com,90616281,25322702,홍영호,010-4006-6276,780920-2095205
울산광역시 동구 화정동,yeongsig56@yuhanhoesa.com,72347077,14551560,최현지,010-3299-7093,650829-1437673
서울특별시 강동구 길동,ojang@iyun.org,84915008,8483314,김상철,010-1303-2347,530810-1288781
충청북도 보은군 속리산면 사내리,hjeong@gimyun.com,17612416,3087925,이준영,010-3464-6310,751113-2187619
서울특별시 도봉구 쌍문동,hanjuweon@jusighoesa.net,12648265,437672,김지혜,010-4246-5680,510603-1345329
세종특별자치시 세종시 금남면 용담리,junho97@ogweongim.com,32367274,9233380,장은주,010-9012-5329,850414-2704583
경상북도 영덕군 창수면 보림리,ygwag@baegi.net,79821210,3244582,김지현,010-2105-7697,750429-2014134
전라북도 무주군 적상면 사천리,yeongjini@baghonggim.net,50436901,2139195,백지원,010-5399-4428,091020-4280224
서울특별시 도봉구 창동,hson@hwangsong.com,87833480,4626846,홍하은,010-3776-9431,470909-1105909
경기도 화성시 송산면 지화리,hwangjeonghun@jusighoesa.kr,38821906,3577997,강영숙,010-7837-9686,030205-4415476
제주특별자치도 제주시 우도면 연평리,jihyeon59@ju.com,83823436,27271949,조은영,010-6608-2333,690519-1076446
세종특별자치시 세종시 연기면 보통리,hhan@ju.com,36554846,8178346,홍서연,010-2152-3331,700305-1445103
전라남도 화순군 춘양면 회송리,boram58@jusighoesa.com,57114217,3748620,이윤서,010-2765-4235,621017-1488161
전라남도 광양시 다압면 고사리,boramgim@ju.com,85467413,28252843,고상현,010-5750-4791,560117-1493652
울산광역시 남구 고사동,gimhyejin@yu.com,44199826,3635229,이상현,010-1192-6244,600423-2322963
세종특별자치시 세종시 연동면 문주리,gangjiyeong@ju.kr,51192580,14148849,진민지,010-2604-7822,091029-3473586
전라남도 구례군 구례읍 신월리,cunjamin@ibag.com,18555256,3201926,신미숙,010-3763-4935,010418-3831047
부산광역시 동래구 복천동,dohyeoni@jusighoesa.net,3599449,1053357,고정숙,010-3932-1994,940907-1003852
전라북도 진안군 진안읍 군하리,mgim@ison.org,25772760,3140591,박은정,010-3967-7165,920701-2736300
인천광역시 서구 원당동,gimseojun@jusighoesa.kr,47406167,1870664,이준혁,010-3384-2012,010520-4682619
충청남도 천안시 동남구 북면 운용리,kseo@gimgimi.net,7409800,466971,오예지,010-8055-8173,981029-1410797
서울특별시 양천구 신월동,seoyeon41@igimjang.org,86858740,3713072,박상현,010-8384-2131,050313-4472813
전라북도 순창군 복흥면 산정리,miyeong08@coebag.net,10966307,3876378,강선영,010-7158-6613,570128-2326239
충청남도 청양군 대치면 농소리,coejia@isinjeong.com,17736790,7940962,지진호,010-4949-5345,760228-2233127
대구광역시 중구 동인동2가,minjaei@igweon.com,54258264,8824278,박정훈,010-5392-8340,460519-2612933
강원도 인제군 남면 신남리,munyeweon@yu.org,83225846,22996316,박민석,010-2956-1892,690212-1601361
강원도 고성군 죽왕면 문암진리,donghyeonan@jusighoesa.com,84867545,9092341,이지은,010-3155-8226,810406-2882051
대구광역시 중구 동성로3가,hyeonui@gimgim.kr,17757179,5527053,김민석,010-3692-2762,901223-2937284
경상북도 김천시 감천면 금송리,minjungim@bagan.com,78609779,29672792,김은정,010-5861-2867,750723-1375822
전라남도 담양군 수북면 풍수리,jihye17@yuhanhoesa.com,45310142,12483530,이상현,010-8330-1406,090504-4949396
전라북도 임실군 임실읍 성가리,immigyeong@yuhanhoesa.com,75043312,48507135,홍보람,010-9588-4246,510811-1182030
경상북도 포항시 남구 동해면 임곡리,suminbag@iseong.com,58496888,10147558,서주원,010-1472-7482,970609-1117730
경기도 용인시 처인구 원삼면 죽능리,jongsu33@ogimgim.com,9749975,2502182,장정희,010-9655-5083,640920-1940653
대구광역시 달성군 화원읍 명곡리,kgweon@yu.com,24649083,4580544,박정자,010-9512-6378,800808-2230990
충청북도 음성군 대소면 오류리,jangjimin@bagigim.org,46703860,23164907,임상철,010-7982-7404,130924-4868296
전라남도 무안군 청계면 도림리,gimsunja@baegbae.com,76414774,9773110,류성훈,010-3176-8444,620914-1149550
제주특별자치도 서귀포시 대정읍 하모리,ihyeonjeong@yu.kr,95879283,10474286,배준영,010-5718-4691,680404-2528486
경기도 오산시 내삼미동,gyeongsu39@baggim.com,22694692,1448802,백옥순,010-4895-6995,930707-1910123
대전광역시 유성구 용산동,jongsubag@gimui.org,54616910,6890078,장영일,010-3266-3310,000128-4505471
세종특별자치시 세종시 연기면 산울리,ao@yu.kr,15177763,8023443,성정웅,010-2010-3439,780325-1320435
세종특별자치시 세종시 장군면 대교리,vyun@yu.com,9209940,641499,김영희,010-3797-9149,140718-3636493
부산광역시 동래구 복천동,areum47@hwanggangcoe.com,11985539,4884192,구영길,010-4597-8895,720731-2740077
제주특별자치도 제주시 애월읍 애월리,seongmin80@ju.com,88824024,36455815,조은서,010-4180-1196,091001-4000952
경상남도 함안군 칠서면 태곡리,eunju52@bagjocoe.com,63345958,535713,권미숙,010-9665-7556,530513-2594971
인천광역시 미추홀구 문학동,si@ju.kr,40143244,2766970,이정남,010-4157-4084,560317-2482646
충청북도 청주시 흥덕구 오송읍 정중리,gimmyeongsug@ju.kr,80608945,12737634,박지우,010-7255-3721,921002-1516952
충청남도 천안시 동남구 병천면 탑원리,imisug@uigu.kr,83300383,7831553,이미숙,010-4020-4574,060817-3833989
강원도 태백시 통동,doyungim@songseo.org,73086856,3776939,이건우,010-4716-3147,720722-2280349
세종특별자치시 세종시 금남면 달전리,gimminjun@yu.net,46264324,22288650,송지혜,010-7529-8079,791026-2241036
대구광역시 달성군 옥포읍 교항리,songjihye@ju.kr,4621904,758640,이상현,010-9194-1326,920709-1452334
인천광역시 남동구 서창동,junhoi@icoebae.kr,11825167,665350,나아름,010-4444-9894,980106-2797486
인천광역시 중구 해안동4가,ogim@gimbagbaeg.com,26367571,164866,조서윤,010-1946-4572,061030-3724523
대구광역시 달서구 상인동,jihuhan@ju.org,43923629,24790276,이우진,010-9380-9459,830726-2895189
울산광역시 울주군 삼남면 상천리,yunseunghyeon@ganghwang.com,89745150,17713092,권상현,010-8385-7781,460906-2327322
부산광역시 부산진구 부암동,ijeongsun@gimgweoni.com,2111500,363019,김민수,010-7013-9203,060327-3303266
광주광역시 북구 누문동,junhyeog39@jusighoesa.org,55287874,6817841,김현우,010-5458-1420,471207-1852182
강원도 동해시 망상동,myeongsug90@baegim.org,31489935,10385403,문정자,010-4187-4743,900714-2896712
충청북도 증평군 도안면 연촌리,bbag@songgim.org,89986610,18639511,김경자,010-4190-4940,141114-3444399
전라북도 완주군 봉동읍 용암리,namjunho@bagi.kr,26528847,4500549,이하윤,010-6128-2584,751231-2060398
충청남도 금산군 금산읍 상옥리,seungminbag@gimbag.net,43372432,24866577,김정남,010-5264-8847,970127-1939340
인천광역시 부평구 구산동,seoyuni@jusighoesa.com,84206279,10454110,한유진,010-9347-9813,970518-2070741
인천광역시 옹진군 연평면 연평리,bheo@gimbaggim.kr,14319717,549171,최영진,010-9253-1131,600222-2656893
제주특별자치도 제주시 아라일동,gangsumin@imgweongweon.com,21389885,2223113,김민준,010-3071-4090,780830-1146904
대구광역시 남구 대명동,haeun66@ju.org,33959570,13915341,김은주,010-4660-9231,651210-2838266
강원도 양양군 현북면 하광정리,jeongungi@yu.net,63632180,13069008,이유진,010-3150-7158,650919-2860292
대전광역시 유성구 상대동,jeongnamgim@usin.com,28621166,219632,김도윤,010-5366-1240,810204-2652125
제주특별자치도 제주시 오라이동,jinho27@gosonbag.com,99639206,48809359,박경희,010-9379-9513,770703-1098590
대구광역시 중구 북성로1가,ogjagim@ju.net,77152271,3835521,최아름,010-4693-6418,050610-3262267
경기도 양주시 은현면 선암리,minsugim@gangcoe.kr,62931334,17313764,이영길,010-5987-2715,860121-1215127
충청남도 태안군 소원면 파도리,sanghyeoni@gimgimsin.com,71868087,41192047,강하은,010-6817-1463,750429-2133913
세종특별자치시 세종시 연기면 보통리,ihaeun@gimigim.com,80564719,9158875,윤서현,010-1722-5486,750504-2054523
전라남도 담양군 수북면 주평리,seunghyeon54@yuhanhoesa.org,59241764,7795950,김광수,010-2943-6880,101013-3055895
충청북도 단양군 적성면 대가리,sanghungo@baeggimgweon.org,82233305,55194003,김영호,010-5273-3225,120528-4036623
전라남도 강진군 옴천면 봉림리,yo@iii.net,16460550,2235222,이재호,010-5356-8124,640305-1431135
부산광역시 금정구 부곡동,ominjun@gimsonbag.net,74174221,6062514,윤하윤,010-5163-6070,760809-2516521
대구광역시 달성군 논공읍 남리,jeongnamgim@jusighoesa.org,23573737,2667562,박옥자,010-9167-9173,950323-2614194
서울특별시 금천구 가산동,minsusim@bagjeong.kr,93557644,18835633,서현주,010-3703-2268,740818-2828764
강원도 춘천시 동면 평촌리,qgim@yu.kr,47720387,7518766,최서준,010-8377-1621,890213-2118995
전라북도 진안군 용담면 월계리,jeonghyihwang@yuhanhoesa.net,26449475,4098204,최상호,010-9750-6175,670724-1153684
제주특별자치도 서귀포시 안덕면 창천리,mgim@giman.org,9244627,5567352,진정순,010-4862-7132,540807-1295592
울산광역시 동구 일산동,qi@jusighoesa.com,70596073,4178656,박정웅,010-9362-7283,670421-1543985
경상북도 경주시 노서동,ijeonghun@yuhanhoesa.kr,19709107,9016994,최민수,010-5579-3633,490318-1332069
충청남도 청양군 장평면 지천리,jia35@yuhanhoesa.org,94465590,8599218,이상호,010-6563-6588,020822-3070084
대구광역시 달성군 현풍읍 상리,jeonghyi96@ju.kr,15170330,4731855,서지우,010-2941-9159,130806-3968983
울산광역시 중구 남외동,pcoe@jusighoesa.com,77167609,9833251,구지훈,010-8845-6987,640724-1612870
광주광역시 북구 연제동,jiu27@yu.kr,35247632,1074086,서중수,010-5562-7039,730608-2086339
전라남도 함평군 월야면 예덕리,ogjai@gimbaei.com,9492785,2164460,박준영,010-4333-7527,480905-1267382
대구광역시 남구 이천동,gimhyeonjun@baegi.com,77532791,35920772,김서영,010-2849-7456,700212-2131842
경상남도 창원시 성산구 가음동,yejimun@songjangjang.net,17564028,1409116,최예원,010-9754-2253,700323-1213791
광주광역시 서구 농성동,yunseoi@goyungim.com,12835038,2035694,허진우,010-9632-1844,030611-3004548
강원도 인제군 남면 신월리,eo@janggimbag.com,9348304,910414,김지민,010-5643-6041,521115-2929038
대전광역시 대덕구 용호동,jeongho04@songgim.com,36597172,7031607,이민서,010-3232-7252,860612-1627269
대전광역시 서구 산직동,pgwag@gimi.net,3988885,865272,김정웅,010-2083-9417,860707-2289839
울산광역시 북구 송정동,igim@jusighoesa.kr,85041772,53562333,김지영,010-6135-8385,110419-3802806
전라남도 무안군 청계면 사마리,xi@jojang.net,86182474,4079136,김지원,010-8250-5458,750929-2376229
세종특별자치시 세종시 전의면 관정리,junhyeog13@jeoni.com,42873822,2927041,권경수,010-5792-5238,661226-2138752
부산광역시 영도구 신선동1가,sonyeongho@seoi.com,77458990,7792900,김채원,010-7921-5438,550715-2415560
대구광역시 북구 노곡동,yeongmigim@munim.net,95050495,38254845,유성민,010-8466-2688,540823-1905592
충청북도 괴산군 괴산읍 검승리,misuggim@yuhanhoesa.com,83910296,3073864,박영순,010-2303-7808,000610-3396759
경상남도 창녕군 창녕읍 술정리,minjuno@hanbaehan.com,92891548,25264572,박영자,010-8460-8326,850829-1925028
대전광역시 대덕구 법동,myeongja37@yuhanhoesa.org,32940403,8434517,김영길,010-9291-9182,100212-3939976
경상북도 울릉군 울릉읍 독도리,hyeonsuggweon@yu.kr,47216109,7578348,이준혁,010-3382-9945,520623-2670903
부산광역시 해운대구 좌동,hyeonjun03@bagyun.kr,81320424,4517095,남민지,010-6559-3480,820110-1059018
경상남도 창원시 성산구 반송동,coesiu@jusighoesa.com,30496296,1494094,김지훈,010-3839-7237,451124-1358372
울산광역시 중구 동동,yeonghyi58@yuhanhoesa.com,67299318,9356301,김성민,010-3384-9141,500501-1933245
전라북도 무주군 무풍면 지성리,myeongsugcoe@yuhanhoesa.org,94046137,12344004,서진호,010-2854-9000,720810-1124181
인천광역시 연수구 송도동,hyeonu10@jusighoesa.com,19908073,4110015,김경희,010-3467-4417,800601-1589178
대구광역시 중구 화전동,sujinbag@iryu.com,91085892,8392060,김하윤,010-4244-3614,980408-1260399
전라남도 담양군 용면 통천리,yeongjinbag@yu.com,53842708,10510043,한상훈,010-5249-4718,860526-2332823
강원도 양구군 남면 야촌리,simogsun@yuhanhoesa.com,36685970,420155,박미영,010-3513-1674,750413-1493279
경기도 수원시 팔달구 중동,gangseunghyeon@bagiha.com,98329019,1836295,김미경,010-3867-6970,660821-1798728
경상남도 함양군 유림면 서주리,gimseonyeong@gimihwang.net,51635124,13274964,홍영식,010-2317-2711,810619-2202920
제주특별자치도 제주시 이도일동,seoyun47@gimgim.com,19855521,1887124,이민수,010-7979-6724,880915-2218854
대전광역시 동구 대성동,sunja42@baeggimca.kr,43565756,6351497,한서영,010-7196-9766,920828-1728758
경상북도 울릉군 서면 남서리,baghyeonsug@yu.kr,64765771,24739636,김도윤,010-9450-9425,740105-2265256
울산광역시 울주군 두서면 인보리,byeongceol70@yuhanhoesa.kr,9343277,1771214,홍지후,010-7352-6136,460108-1441133
인천광역시 동구 창영동,misug28@gimseo.org,28012741,6693747,손건우,010-5910-5196,650224-1287665
울산광역시 북구 구유동,seoyeon80@ii.com,75385787,489835,김민서,010-7116-5468,790315-2604848
부산광역시 동래구 온천동,sunog17@ooi.kr,31980899,9387526,윤수진,010-9614-7447,460808-2512201
전라남도 여수시 화정면 상화리,jihun57@yu.org,45213693,3740285,최명숙,010-7517-1911,930818-2195581
전라남도 보성군 노동면 감정리,byeongceoli@yuhanhoesa.com,68485681,40237993,손준호,010-3871-5327,880607-2134780
경상북도 의성군 의성읍 중리리,coemijeong@coegim.com,26908252,1499717,김준서,010-9266-9435,550629-1427111
부산광역시 사하구 장림동,hayunha@yu.net,31461301,1466885,김우진,010-1077-7111,720510-2242754
경상남도 거제시 연초면 오비리,gimjaeho@yuhanhoesa.com,8337910,4128702,남상훈,010-1195-8630,800717-1302650
울산광역시 울주군 삼동면 조일리,misug41@hongan.net,90593142,28420878,차지영,010-4954-6720,901225-2232261
세종특별자치시 세종시 금남면 영대리,minji11@gimgim.kr,6723674,263991,장옥자,010-7844-8574,510220-2463638
인천광역시 서구 불로동,junseobag@jusighoesa.com,31391544,11200361,박민석,010-9236-5650,580716-2773812
세종특별자치시 세종시 금남면 영대리,fi@yuhanhoesa.net,80475512,13297789,김지은,010-5549-6770,910831-2020983
서울특별시 은평구 대조동,miyeonggim@coebag.com,33323758,102959,이서연,010-1232-6750,870210-1099459
충청북도 청주시 서원구 남이면 상발리,mi@yuhanhoesa.kr,29434493,2240271,김서윤,010-6375-5887,800327-1173690
울산광역시 남구 용잠동,ebag@ju.com,55033643,24201408,손미경,010-8224-8209,680331-2640460
충청남도 아산시 도고면 금산리,simjiu@ju.kr,28522203,11231440,김숙자,010-2059-9072,921209-1962359
경기도 이천시 백사면 상용리,gimjeongja@hanbaggim.net,44126292,2055599,박도현,010-1177-8603,730215-1744802
부산광역시 동래구 명장동,hayungim@hwangminmun.net,57971270,8860981,한영철,010-8097-9255,140203-4121401
부산광역시 사하구 다대동,gimjongsu@gimyang.com,72527837,19473455,윤병철,010-5006-3287,800702-2689123
인천광역시 미추홀구 숭의동,anhaeun@jeongyanggim.kr,37337771,12833071,고옥순,010-8395-3049,740920-2716795
경상남도 의령군 칠곡면 산남리,sumin05@yuhanhoesa.org,10000488,1427576,백정훈,010-4078-2562,800320-1891025
광주광역시 남구 칠석동,egim@yuhanhoesa.com,80664022,490595,김상철,010-1339-4483,930509-2489074
광주광역시 남구 송하동,iseoyeong@gweonsim.kr,63428186,2313583,이영희,010-8253-9139,751103-2180415
전라남도 신안군 임자면 삼두리,ngwag@coebag.com,47304167,734586,김서준,010-6395-9397,490316-1542084
강원도 원주시 지정면 월송리,yeongsug32@goijeon.kr,44598245,9667582,노영순,010-5776-1340,601216-1810372
광주광역시 북구 오치동,anhyeonjun@yuhanhoesa.kr,92021159,14049714,곽미정,010-6308-2845,841223-2520926
